experiment_name,notebook,city,parquet_name,classifier_name,feature_set_name,n_samples,n_positive,n_negative,prevalence,threshold,auc,average_precision,log_loss,brier_score,accuracy,balanced_accuracy,f1,precision,recall,mcc,tp,fp,tn,fn,specificity,fpr,precision_at_recall_80,threshold_at_recall_80,precision_at_recall_90,threshold_at_recall_90,precision_at_recall_95,threshold_at_recall_95,n,note,is_xbd
C_A5_scene_indices,NB08c_v6,Kharkiv,bda_scene_indices_v6,LightGBM-300-MIA,manifest_default_minus_leakage,1883.0,263.0,1620.0,0.13967073818374934,0.5,0.6932521241139745,0.22966554084689086,0.6862163218631185,0.2474425730214125,0.56558682952735,0.6599434351969207,0.3371150729335494,0.21421215242018538,0.7908745247148289,0.22188337462083513,208.0,763.0,857.0,55.0,0.5290123456790123,0.47098765432098766,0.20645792563600782,0.4794108703150563,0.16796598157335224,0.346919463409477,0.15933715742511154,0.2825385399445155,,,False
C_A5_scene_indices,NB08c_v6,Kherson,bda_scene_indices_v6,LightGBM-300-MIA,manifest_default_minus_leakage,142.0,13.0,129.0,0.09154929577464789,0.5,0.7590936195587359,0.23473661289114536,0.4791617546563588,0.16362646125717467,0.7464788732394366,0.6875372689326178,0.3076923076923077,0.20512820512820512,0.6153846153846154,0.24234451696596843,8.0,31.0,98.0,5.0,0.7596899224806202,0.24031007751937986,0.13580246913580246,0.2812608105204392,0.1411764705882353,0.24317985556520152,0.14285714285714285,0.19835689874441914,,,False
C_A5_scene_indices,NB08c_v6,Kramatorsk,bda_scene_indices_v6,LightGBM-300-MIA,manifest_default_minus_leakage,180.0,25.0,155.0,0.1388888888888889,0.5,0.6647741935483871,0.2959651672229993,0.4767976881087736,0.1502401328176222,0.7944444444444444,0.6458064516129032,0.3728813559322034,0.3235294117647059,0.44,0.2576479573223928,11.0,23.0,132.0,14.0,0.8516129032258064,0.14838709677419354,0.12658227848101267,0.09456084258990594,0.1393939393939394,0.08216870432576562,0.1437125748502994,0.07677663977947713,,,False
C_A5_scene_indices,NB08c_v6,Lysychansk,bda_scene_indices_v6,LightGBM-300-MIA,manifest_default_minus_leakage,7962.0,1117.0,6845.0,0.14029138407435318,0.5,0.6881729536161049,0.29466778871062155,0.47441180315523257,0.1528187653370581,0.7900025119316755,0.6287703222591557,0.35093167701863354,0.3098012337217272,0.40465532676812893,0.2311929401474074,452.0,1007.0,5838.0,665.0,0.8528853177501826,0.14711468224981739,0.1806060606060606,0.227698145998032,0.16233661449088269,0.13968566277587396,0.15102389078498293,0.07817745371637844,,,False
C_A5_scene_indices,NB08c_v6,Makariv,bda_scene_indices_v6,LightGBM-300-MIA,manifest_default_minus_leakage,448.0,61.0,387.0,0.13616071428571427,0.5,0.5879188376329055,0.1746305325665219,0.5202322457447668,0.1689270979317176,0.7834821428571429,0.5156309569195577,0.1565217391304348,0.16666666666666666,0.14754098360655737,0.032929942394339703,9.0,45.0,342.0,52.0,0.8837209302325582,0.11627906976744186,0.14803625377643503,0.2700609010395724,0.14588859416445624,0.24552917827382767,0.14320987654320988,0.2144001359745729,,,False
C_A5_scene_indices,NB08c_v6,Mariupol,bda_scene_indices_v6,LightGBM-300-MIA,manifest_default_minus_leakage,22615.0,3311.0,19304.0,0.14640725182401063,0.5,0.6260804805166017,0.21970428861138755,0.5184949505446566,0.16940565789993756,0.7827105903161619,0.5530635787125585,0.23529411764705882,0.24269662921348314,0.22832980972515857,0.10886378894393449,756.0,2359.0,16945.0,2555.0,0.8777973476999585,0.12220265230004144,0.1772973696539723,0.2883498663517771,0.16552796756096205,0.23896846356511386,0.15848866498740555,0.199868706553968,,,False
C_A5_scene_indices,NB08c_v6,Moschun,bda_scene_indices_v6,LightGBM-300-MIA,manifest_default_minus_leakage,962.0,85.0,877.0,0.08835758835758836,0.5,0.611630558722919,0.117701891231348,0.6253881521975648,0.21840823833961182,0.6268191268191268,0.561586960896103,0.18594104308390022,0.1151685393258427,0.4823529411764706,0.07240469322926776,41.0,315.0,562.0,44.0,0.6408209806157354,0.35917901938426455,0.10950080515297907,0.39418307976586137,0.1056241426611797,0.3457341175187887,0.10424710424710425,0.3218228541616679,,,False
C_A5_scene_indices,NB08c_v6,Okhtyrka,bda_scene_indices_v6,LightGBM-300-MIA,manifest_default_minus_leakage,258.0,38.0,220.0,0.14728682170542637,0.5,0.6686602870813397,0.2590786834147475,0.6259429275117143,0.21762883132133654,0.6550387596899225,0.6126794258373206,0.32061068702290074,0.22580645161290322,0.5526315789473685,0.1663390869808113,21.0,72.0,148.0,17.0,0.6727272727272727,0.32727272727272727,0.18235294117647058,0.32929042392680086,0.17676767676767677,0.28143420129518915,0.178743961352657,0.26759981533910226,,,False
C_A5_scene_indices,NB08c_v6,Rubizhne,bda_scene_indices_v6,LightGBM-300-MIA,manifest_default_minus_leakage,5002.0,463.0,4539.0,0.09256297481007597,0.5,0.6081769373849959,0.1463948982146017,0.5538834683066212,0.1849413449842734,0.7804878048780488,0.5735747353033964,0.21233859397417504,0.158968850698174,0.31965442764578833,0.10957308750627663,148.0,783.0,3756.0,315.0,0.8274950429610046,0.17250495703899538,0.10515873015873016,0.3441602831913844,0.10106640814348036,0.30542509902246473,0.09795191451469279,0.2634328233992109,,,False
C_A5_scene_indices,NB08c_v6,Sievierodonetsk,bda_scene_indices_v6,LightGBM-300-MIA,manifest_default_minus_leakage,4418.0,568.0,3850.0,0.12856496152105024,0.5,0.7356793030912749,0.2630873121798774,0.663634831297368,0.24019654540616722,0.553870529651426,0.6727368758002561,0.32430579362358586,0.20136228182205193,0.8327464788732394,0.23173830977324178,473.0,1876.0,1974.0,95.0,0.5127272727272727,0.48727272727272725,0.2046783625730994,0.5204448221836668,0.1817536386226482,0.4231936825224218,0.16630736064059132,0.34040186590658517,,,False
