model_id,fold_id,n,n_damaged,auc,cities,n_cities
NB08b_BDA_RGB+CARD_LightGBM,3,103628,1947,0.6659676897101885,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB08b_BDA_RGB+CARD_LightGBM,4,104753,3435,0.6837699872593339,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
ABL_FUSION_MS_COH_SAR_ALL,0,170104,238,0.5,Kharkiv,1
ABL_FUSION_MS_COH_SAR_ALL,1,75995,575,0.5279306607634926,Chernihiv|Chornobaivka|Moschun|Volnovakha,4
ABL_FUSION_MS_COH_SAR_ALL,2,76892,1371,0.6132276152055165,Avdiivka|Bucha|Lysychansk|Makariv,4
ABL_FUSION_MS_COH_SAR_ALL,3,78593,3759,0.5649106281546679,Irpin|Kherson|Mariupol|Rubizhne|Trostianets,5
ABL_FUSION_MS_COH_SAR_ALL,4,78729,1243,0.5890887999719421,Dmytrivka|Hostomel|Kramatorsk|Okhtyrka|Sievierodonetsk,5
ABL_FUSION_MS_COH_COH,0,170104,238,0.5,Kharkiv,1
ABL_FUSION_MS_COH_COH,1,75995,575,0.5279306607634926,Chernihiv|Chornobaivka|Moschun|Volnovakha,4
ABL_FUSION_MS_COH_COH,2,76892,1371,0.6132276152055165,Avdiivka|Bucha|Lysychansk|Makariv,4
ABL_FUSION_MS_COH_COH,3,78593,3759,0.5649106281546679,Irpin|Kherson|Mariupol|Rubizhne|Trostianets,5
ABL_FUSION_MS_COH_COH,4,78729,1243,0.5890887999719421,Dmytrivka|Hostomel|Kramatorsk|Okhtyrka|Sievierodonetsk,5
CLF_A17_ExtraTrees,0,170104,238,0.5453484986237793,Kharkiv,1
CLF_A17_ExtraTrees,1,113042,84,0.6205360568066176,Mykolaiv,1
CLF_A17_ExtraTrees,2,107068,1628,0.57558960543952,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
CLF_A17_ExtraTrees,3,103628,1947,0.5838184388533528,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
CLF_A17_ExtraTrees,4,104753,3435,0.5157911061180167,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB08b_BDA_CARD_LogReg,0,110650,225,0.7421486479007874,Kharkiv,1
NB08b_BDA_CARD_LogReg,1,64984,628,0.9117759027907266,Borodyanka|Mykolaiv|Sievierodonetsk,3
NB08b_BDA_CARD_LogReg,2,64785,792,0.6132255212730813,Bucha|Chernihiv|Chornobaivka|Rubizhne|Trostianets,5
