model_id,fold_id,n,n_damaged,auc,cities,n_cities
NB11e_all_multimodal__fusion_composite_blockstats__LightGBM-Optuna,1,75995,575,0.6062269378437273,Chernihiv|Chornobaivka|Moschun|Volnovakha,4
NB11e_all_multimodal__fusion_composite_blockstats__LightGBM-Optuna,2,76892,1371,0.6485658473361576,Avdiivka|Bucha|Lysychansk|Makariv,4
NB11e_all_multimodal__fusion_composite_blockstats__LightGBM-Optuna,3,78593,3759,0.7126755796244824,Irpin|Kherson|Mariupol|Rubizhne|Trostianets,5
NB11e_all_multimodal__fusion_composite_blockstats__LightGBM-Optuna,4,78729,1243,0.7923249582324051,Dmytrivka|Hostomel|Kramatorsk|Okhtyrka|Sievierodonetsk,5
NB11e_all_multimodal__fusion_composite_blockstats__XGBoost-Optuna,0,170104,238,0.7614680978887264,Kharkiv,1
NB11e_all_multimodal__fusion_composite_blockstats__XGBoost-Optuna,1,75995,575,0.6052031291434633,Chernihiv|Chornobaivka|Moschun|Volnovakha,4
NB11e_all_multimodal__fusion_composite_blockstats__XGBoost-Optuna,2,76892,1371,0.672263213585266,Avdiivka|Bucha|Lysychansk|Makariv,4
NB11e_all_multimodal__fusion_composite_blockstats__XGBoost-Optuna,3,78593,3759,0.7169821497190096,Irpin|Kherson|Mariupol|Rubizhne|Trostianets,5
NB11e_all_multimodal__fusion_composite_blockstats__XGBoost-Optuna,4,78729,1243,0.8148871789550585,Dmytrivka|Hostomel|Kramatorsk|Okhtyrka|Sievierodonetsk,5
NB11f_R3_sensor_ablations__fusion_composite_blockstats__ms_plus_blocks_F8__RF-200-Optuna,0,170104,238,0.8121713610738351,Kharkiv,1
NB11f_R3_sensor_ablations__fusion_composite_blockstats__ms_plus_blocks_F8__RF-200-Optuna,1,75995,575,0.6146237418283698,Chernihiv|Chornobaivka|Moschun|Volnovakha,4
NB11f_R3_sensor_ablations__fusion_composite_blockstats__ms_plus_blocks_F8__RF-200-Optuna,2,76892,1371,0.6461655266694843,Avdiivka|Bucha|Lysychansk|Makariv,4
NB11f_R3_sensor_ablations__fusion_composite_blockstats__ms_plus_blocks_F8__RF-200-Optuna,3,78593,3759,0.71382093990805,Irpin|Kherson|Mariupol|Rubizhne|Trostianets,5
NB11f_R3_sensor_ablations__fusion_composite_blockstats__ms_plus_blocks_F8__RF-200-Optuna,4,78729,1243,0.8058365262733782,Dmytrivka|Hostomel|Kramatorsk|Okhtyrka|Sievierodonetsk,5
NB11c_A13_A14_A19_card_changes__prepost_single_card__LightGBM-MIA-Optuna,0,170104,238,0.7242279925639854,Kharkiv,1
NB11c_A13_A14_A19_card_changes__prepost_single_card__LightGBM-MIA-Optuna,1,113042,84,0.5885317994298765,Mykolaiv,1
