model_id,modality,modality_family,n_folds,auc_mean,auc_std,auc_cv,auc_min,auc_max,auc_range
NB08b_xBD_RGB_AdaBoost,MS_only,MS,5,0.669,0.0752,0.1124,0.5628,0.749,0.1862
NB11d_A9_A10_composite_prepost__composite_prepost_landuse__LightGBM-MIA-Optuna,other,other,5,0.6689,0.0788,0.1179,0.5514,0.7444,0.1931
NB08b_BDA_COH_DROP+RGB_UISEM_voting,SAR_coh_unsupervised,SAR,5,0.6664,0.0811,0.1217,0.5606,0.7692,0.2086
E7_LogReg,multimodal_all,multimodal,5,0.6659,0.0821,0.1233,0.5779,0.7895,0.2116
NB08b_BDA_COH_DROP+CARD_UISEM_voting,SAR_coh_unsupervised,SAR,5,0.6641,0.0583,0.0878,0.5982,0.7355,0.1373
NB08b_BDA_COH_DROP+RGB_LightGBM,SAR_coh_unsupervised,SAR,5,0.664,0.0737,0.111,0.5857,0.7678,0.1821
CLF_A9_XGBoost,other,other,5,0.6639,0.1021,0.1538,0.5465,0.7624,0.216
NB08b_BDA_COH_DROP+CARD_RF-200,SAR_coh_unsupervised,SAR,5,0.6637,0.0616,0.0928,0.5864,0.7415,0.1551
NB08b_BDA_COH_DROP+CARD_LogReg,SAR_coh_unsupervised,SAR,5,0.6605,0.0514,0.0778,0.6086,0.7215,0.113
NB08b_BDA_CARD_UISEM_voting,other,other,5,0.6597,0.0139,0.0211,0.6379,0.6759,0.038
NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,multimodal_all,multimodal,5,0.657,0.1673,0.2546,0.3795,0.8232,0.4437
NB08b_BDA_COH_DROP+CARD_GBM,SAR_coh_unsupervised,SAR,5,0.6544,0.0534,0.0816,0.5916,0.7162,0.1247
E7b_NearestCentroid,other,other,5,0.6535,0.0882,0.1349,0.5592,0.7833,0.2241
E5_HistGBM_native_NaN,other,other,5,0.6507,0.1157,0.1778,0.4936,0.8004,0.3068
NB08b_BDA_RGB+CARD_LightGBM,multimodal_SAR+MS,multimodal,5,0.6502,0.1143,0.1758,0.451,0.7253,0.2743
NB08b_BDA_COH_DROP+CARD_XGBoost,SAR_coh_unsupervised,SAR,5,0.6494,0.0515,0.0793,0.576,0.7038,0.1278
NB08b_BDA_COH_DROP+CARD_ExtraTrees,SAR_coh_unsupervised,SAR,5,0.6483,0.0659,0.1017,0.5743,0.7175,0.1432
NB08b_BDA_COH_DROP+RGB_RF-200,SAR_coh_unsupervised,SAR,5,0.6478,0.078,0.1204,0.5679,0.7656,0.1978
