model_id,n_folds,auc_mean,auc_std,auc_cv,auc_min,auc_max,auc_range
D1e_zonal_std,5,0.5097,0.0244,0.0479,0.4786,0.5349,0.0563
R3b_coh_ms,5,0.6577,0.0314,0.0477,0.6112,0.6857,0.0745
R0c_roll13_baseline+assessment,5,0.5348,0.0249,0.0465,0.5059,0.5622,0.0563
R4_tier1_ms,5,0.5909,0.0271,0.0458,0.5483,0.6183,0.0699
NB08b_BDA_COH_DROP+RGB+CARD_GBM,5,0.7201,0.0328,0.0456,0.69,0.7555,0.0655
R3b_all_multimodal,5,0.6649,0.0302,0.0454,0.627,0.7071,0.0802
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,5,0.7364,0.0329,0.0447,0.69,0.7691,0.0791
D1_blk_post_block_all,5,0.5267,0.0235,0.0447,0.5091,0.5674,0.0583
D2_sar_+_ms,5,0.6536,0.029,0.0444,0.6289,0.686,0.0571
D4_a9_ms_only,5,0.6481,0.0284,0.0437,0.6072,0.6749,0.0677
D6_ms_only,5,0.6481,0.0284,0.0437,0.6072,0.6749,0.0677
D2_all_features,5,0.6485,0.0282,0.0435,0.6129,0.6772,0.0643
D4_f8_strategy_B_impute,5,0.6485,0.0282,0.0435,0.6129,0.6772,0.0643
E7_SVM_rbf,5,0.5069,0.0219,0.0431,0.4717,0.5244,0.0528
NB08b_BDA_COH_DROP+RGB_AdaBoost,5,0.7384,0.0317,0.043,0.6949,0.7695,0.0747
E7_KNN_5,5,0.5719,0.0244,0.0427,0.5439,0.604,0.06
D2_sar_+_ms_+_coh,5,0.648,0.0276,0.0425,0.6117,0.6775,0.0657
D1e_zonal_min,5,0.5243,0.0223,0.0425,0.4865,0.5429,0.0564
R0c_roll7_baseline+assessment,5,0.5377,0.0226,0.0421,0.5159,0.5675,0.0516
E2_LightGBM_all,5,0.6499,0.0269,0.0414,0.6223,0.6909,0.0686
E1_base_LGBM,5,0.6499,0.0269,0.0414,0.6223,0.6909,0.0686
R5_RF-200_all_multimodal,5,0.663,0.026,0.0392,0.636,0.6997,0.0637
R3_ms_plus_blocks_F8,5,0.663,0.026,0.0392,0.636,0.6997,0.0637
B5_sub_RF,5,0.663,0.026,0.0392,0.636,0.6997,0.0637
E1_base_RF,5,0.663,0.026,0.0392,0.636,0.6997,0.0637
R0c_roll3_baseline+assessment,5,0.5334,0.0208,0.039,0.5108,0.5612,0.0504
D1_blk_pre_baseline_all,5,0.5298,0.0204,0.0386,0.5072,0.5564,0.0491
R5_ExtraTrees_all_multimodal,5,0.6734,0.0256,0.038,0.6538,0.7157,0.0619
E7c_ExtraTrees,5,0.6734,0.0256,0.038,0.6538,0.7157,0.0619
E1_stacking_LogReg,5,0.6656,0.0251,0.0377,0.639,0.6971,0.0581
R3b_card_ms,5,0.6676,0.0251,0.0376,0.6471,0.7069,0.0598
R5_GBM_dietrich28,5,0.5187,0.0186,0.0359,0.5069,0.5515,0.0446
D1_blk_pre+post_all,5,0.5321,0.0188,0.0353,0.5193,0.5648,0.0455
R2_roll13,5,0.5344,0.0181,0.0339,0.5194,0.556,0.0365
R2_roll3,5,0.5331,0.0176,0.0329,0.5166,0.5574,0.0408
R3_coh_only_A14,5,0.5084,0.0167,0.0329,0.4829,0.5297,0.0469
D1_pre+post,5,0.5042,0.0157,0.0312,0.4774,0.5187,0.0414
R5_ExtraTrees_dietrich28,5,0.5275,0.0163,0.0309,0.5144,0.5552,0.0409
D1e_zonal_median,5,0.5264,0.0132,0.0251,0.5077,0.5407,0.033
R2_roll7,5,0.5318,0.013,0.0244,0.5182,0.547,0.0289
D1e_zonal_max,5,0.5322,0.0121,0.0227,0.512,0.5411,0.0291
R1_groupkfold,5,0.5226,0.0112,0.0213,0.5106,0.5401,0.0294
R5_RF-200_dietrich28,5,0.5226,0.0112,0.0213,0.5106,0.5401,0.0294
R0_dietrich28_faithful_groupkfold,5,0.5226,0.0112,0.0213,0.5106,0.5401,0.0294
R4b_tier0_card,4,0.52,0.011,0.0212,0.5096,0.5311,0.0215
R4_tier0_dietrich28,4,0.52,0.011,0.0212,0.5096,0.5311,0.0215
NB08b_BDA_CARD_UISEM_voting,5,0.6597,0.0139,0.0211,0.6379,0.6759,0.038
D1_blk_pre+post_mean,5,0.5033,0.0106,0.021,0.4891,0.5171,0.0279
R3_card_only_prepost_A13,5,0.5216,0.0105,0.0201,0.5101,0.5343,0.0242
R0b_prepost_single_card_groupkfold,5,0.5216,0.0105,0.0201,0.5101,0.5343,0.0242
D1d_delta_only,5,0.514,0.0101,0.0196,0.5041,0.5295,0.0254
D1_delta_only,5,0.514,0.0101,0.0196,0.5041,0.5295,0.0254
R5_XGBoost_dietrich28,5,0.5103,0.0092,0.018,0.4984,0.5203,0.0219
D1d_pre+post+delta,5,0.5184,0.0083,0.0161,0.5101,0.5303,0.0202
D1_pre+post+delta,5,0.5184,0.0083,0.0161,0.5101,0.5303,0.0202
D1e_zonal_mean,5,0.5221,0.0076,0.0145,0.5116,0.5311,0.0195
D1_post_only,5,0.5106,0.0072,0.0141,0.5007,0.5209,0.0201
D1d_post_only,5,0.5106,0.0072,0.0141,0.5007,0.5209,0.0201
D1_blk_pre_baseline_mean,5,0.5008,0.0068,0.0136,0.4921,0.5107,0.0185
D1_blk_post_block_mean,5,0.5008,0.0068,0.0136,0.4921,0.5107,0.0185
R1_random_cv,5,0.5569,0.007,0.0126,0.5448,0.5626,0.0179
D1i_allblocks_random,5,0.6321,0.0076,0.012,0.6211,0.639,0.0179
R5_LightGBM_dietrich28,5,0.5054,0.0054,0.0107,0.4991,0.5112,0.0121
D1_pre_only,5,0.5086,0.0035,0.0069,0.5036,0.5127,0.0091
D1d_pre_only,5,0.5086,0.0035,0.0069,0.5036,0.5127,0.0091
D1j_dynamic_random,5,0.6021,0.0034,0.0057,0.5982,0.6074,0.0092
D1f_roll3_assess,5,0.5,0.0,0.0,0.5,0.5,0.0
D1f_roll7_assess,5,0.5,0.0,0.0,0.5,0.5,0.0
R0c_roll3_assessment_only,5,0.5,0.0,0.0,0.5,0.5,0.0
R0c_roll7_assessment_only,5,0.5,0.0,0.0,0.5,0.5,0.0
