city,feature,method,bhattacharyya,jm_distance,chi2,chi2_p,cramers_v,separability
Avdiivka,s2__composite__ndre__post_winter_baseline_mean,bhattacharyya,0.1963249208630673,0.3565096217197483,,,,poor
Avdiivka,s2__composite__ndre__post_winter_baseline_std,bhattacharyya,0.08821429019846116,0.16887068166438013,,,,poor
Avdiivka,s2__composite__ndre__prebattle_baseline_max,bhattacharyya,0.08216072250663967,0.15775219708753152,,,,poor
Avdiivka,s2__composite__ndre__prebattle_baseline_mean,bhattacharyya,0.1524497600921581,0.2827959420807118,,,,poor
Avdiivka,s2__composite__ndre__prebattle_baseline_std,bhattacharyya,0.21957616066761132,0.3942819818272578,,,,poor
Avdiivka,s2__composite__ndre__winter_baseline_max,bhattacharyya,0.08216072250663967,0.15775219708753152,,,,poor
Avdiivka,s2__composite__ndre__winter_baseline_mean,bhattacharyya,0.1524497600921581,0.2827959420807118,,,,poor
Avdiivka,s2__composite__ndre__winter_baseline_std,bhattacharyya,0.21957616066761132,0.3942819818272578,,,,poor
Avdiivka,s2__composite__ndvi__post_winter_baseline_max,bhattacharyya,0.07673452109642082,0.14772861907905743,,,,poor
Avdiivka,s2__composite__ndvi__post_winter_baseline_mean,bhattacharyya,0.21283175047641684,0.3834157589184004,,,,poor
Avdiivka,s2__composite__ndvi__post_winter_baseline_std,bhattacharyya,0.034365980199482705,0.06756435334089872,,,,poor
Avdiivka,s2__composite__ndvi__prebattle_baseline_max,bhattacharyya,0.07549003561795177,0.1454220593009321,,,,poor
Avdiivka,s2__composite__ndvi__prebattle_baseline_mean,bhattacharyya,0.13979095617763868,0.26092002327231945,,,,poor
Avdiivka,s2__composite__ndvi__prebattle_baseline_std,bhattacharyya,0.09582853213092576,0.18276039637316965,,,,poor
Avdiivka,s2__composite__ndvi__winter_baseline_max,bhattacharyya,0.07549003561795177,0.1454220593009321,,,,poor
Avdiivka,s2__composite__ndvi__winter_baseline_mean,bhattacharyya,0.13979095617763868,0.26092002327231945,,,,poor
Avdiivka,s2__composite__ndvi__winter_baseline_std,bhattacharyya,0.09582853213092576,0.18276039637316965,,,,poor
Avdiivka,s2__composite__ndwi__post_winter_baseline_max,bhattacharyya,0.2673099682746447,0.4691284522325383,,,,poor
Avdiivka,s2__composite__ndwi__post_winter_baseline_mean,bhattacharyya,0.206352238301115,0.3729070728326238,,,,poor
Avdiivka,s2__composite__ndwi__post_winter_baseline_std,bhattacharyya,0.09822335449158813,0.18710715547521772,,,,poor
Avdiivka,s2__composite__ndwi__prebattle_baseline_max,bhattacharyya,0.21167040421408606,0.3815372542662312,,,,poor
Avdiivka,s2__composite__ndwi__prebattle_baseline_mean,bhattacharyya,0.13860857275112637,0.25886254780771356,,,,poor
Avdiivka,s2__composite__ndwi__prebattle_baseline_std,bhattacharyya,0.1021359913330272,0.19418648834768626,,,,poor
Avdiivka,s2__composite__ndwi__winter_baseline_max,bhattacharyya,0.21167040421408606,0.3815372542662312,,,,poor
Avdiivka,s2__composite__ndwi__winter_baseline_mean,bhattacharyya,0.13860857275112637,0.25886254780771356,,,,poor
Avdiivka,s2__composite__ndwi__winter_baseline_std,bhattacharyya,0.1021359913330272,0.19418648834768626,,,,poor
Bucha,s2__composite__b02__post_winter_baseline_max,bhattacharyya,0.16920505112504433,0.3113284927236659,,,,poor
Bucha,s2__composite__b02__post_winter_baseline_mean,bhattacharyya,0.08919138974867785,0.17065900347121854,,,,poor
Bucha,s2__composite__b02__post_winter_baseline_std,bhattacharyya,0.17480058832193143,0.3207511300119872,,,,poor
Bucha,s2__composite__b02__prebattle_baseline_max,bhattacharyya,0.06570685328293718,0.1271893435832807,,,,poor
Bucha,s2__composite__b02__prebattle_baseline_mean,bhattacharyya,0.027362649391272482,0.053983366679057676,,,,poor
Bucha,s2__composite__b02__prebattle_baseline_std,bhattacharyya,0.10582650819708901,0.2008385911668844,,,,poor
Bucha,s2__composite__b02__winter_baseline_max,bhattacharyya,0.06570685328293718,0.1271893435832807,,,,poor
Bucha,s2__composite__b02__winter_baseline_mean,bhattacharyya,0.027362649391272482,0.053983366679057676,,,,poor
Bucha,s2__composite__b02__winter_baseline_std,bhattacharyya,0.10582650819708901,0.2008385911668844,,,,poor
Bucha,s2__composite__b03__post_winter_baseline_max,bhattacharyya,0.1299577294589777,0.24373490145200716,,,,poor
Bucha,s2__composite__b03__post_winter_baseline_mean,bhattacharyya,0.043355515163104666,0.08485820285703571,,,,poor
Bucha,s2__composite__b03__post_winter_baseline_std,bhattacharyya,0.14478749541352662,0.2695877323035256,,,,poor
