model_id,variant_id,n,n_damaged,auc,n_cities,n_folds,TP,FN,FP,TN,is_leaky,is_degenerate
CLF_A9_XGBoost,classifier=XGBoost;parquet=A9,480313,7186,0.6274,19,5,220,6966,2571,470556,False,False
R4b_tier1_all,nb09a;cell=R4b,18513,2214,0.6271,10,5,4,2210,4,16295,False,False
E7_LogReg,non_tree;classifier=LogReg;features=all_multimodal,62043,8080,0.6271,19,5,4390,3690,19117,34846,False,False
NB08b_BDA_COH_DROP+RGB_XGBoost,dataset=BDA;feature_set=COH_DROP+RGB;classifier=XGBoost,205942,6144,0.626,12,5,14,6130,43,199755,False,False
NB08b_BRIGHT_all_LogReg,dataset=BRIGHT;feature_set=all;classifier=LogReg,92423,14126,0.6251,14,5,8616,5510,28519,49778,False,False
NB08b_BDA_COH_DROP+RGB_UISEM_voting,dataset=BDA;feature_set=COH_DROP+RGB;classifier=UISEM_voting,205942,6144,0.6248,12,5,45,6099,102,199696,False,False
B0_single_s1_vh_min,unsupervised_change;source=bda_block_stats_v2;direction=|change|,598595,7332,0.6239,21,1,4610,2722,294688,296575,False,False
D1c_post_composite,post_only,62043,8080,0.6232,19,5,193,7887,196,53767,False,False
B3_logratio_NDBI,unsupervised_logratio;sensor=optical;label=NDBI;direction=|logratio|,3533,407,0.6219,5,1,262,145,1505,1621,False,False
NB08b_BDA_COH_DROP+CARD_UISEM_voting,dataset=BDA;feature_set=COH_DROP+CARD;classifier=UISEM_voting,130789,5427,0.6194,12,5,17,5410,31,125331,False,False
D3_clean,leakage_demo_clean,51293,6867,0.6189,11,5,69,6798,88,44338,True,False
D6_fusion,sensor=fusion_MS_SAR_COH,51293,6867,0.6189,11,5,69,6798,88,44338,False,False
D3_leaky,leakage_demo_with_leaks,51293,6867,0.6173,11,5,68,6799,62,44364,True,False
CLF_A9_GBM,classifier=GBM;parquet=A9,480313,7186,0.617,19,5,10,7176,221,472906,False,False
NB08b_BDA_COH_DROP+CARD_RF-200,dataset=BDA;feature_set=COH_DROP+CARD;classifier=RF-200,130789,5427,0.6156,12,5,101,5326,188,125174,False,False
NB08b_BDA_COH_DROP_ExtraTrees,dataset=BDA;feature_set=COH_DROP;classifier=ExtraTrees,21434,1431,0.6117,12,5,22,1409,780,19223,False,False
NB08b_BDA_CARD_XGBoost,dataset=BDA;feature_set=CARD;classifier=XGBoost,368288,6431,0.6116,21,5,6,6425,12,361845,False,False
NB08b_BDA_COH_DROP+CARD_XGBoost,dataset=BDA;feature_set=COH_DROP+CARD;classifier=XGBoost,130789,5427,0.6108,12,5,20,5407,58,125304,False,False
NB08b_BDA_COH_DROP+CARD_ExtraTrees,dataset=BDA;feature_set=COH_DROP+CARD;classifier=ExtraTrees,130789,5427,0.6102,12,5,852,4575,5214,120148,False,False
E7b_NearestCentroid,probabilistic;classifier=NearestCentroid,62043,8080,0.6064,19,5,4039,4041,19165,34798,False,False
NB08b_BDA_COH_DROP+CARD_GBM,dataset=BDA;feature_set=COH_DROP+CARD;classifier=GBM,130789,5427,0.605,12,5,67,5360,1345,124017,False,False
B5_sub_XGB,uisem_sub_classifier;classifier=XGBoost;features=all_multimodal,62043,8080,0.6023,19,5,879,7201,2850,51113,False,False
E1_base_XGB,stacking_base;classifier=XGB;features=all_multimodal,62043,8080,0.6023,19,5,879,7201,2850,51113,False,False
D1j_dynamic_random,random_cv,293116,29543,0.6019,21,5,8652,20891,61235,202338,True,False
E7d_MLP_128_64,mlp;classifier=MLP_128_64,62043,8080,0.6018,19,5,232,7848,602,53361,False,False
