model_id,auc_v2,modality_family,is_accumulator,auc_v3,delta
R3b_all_multimodal,0.5608106609848462,multimodal,False,0.6656729409204656,-0.10486227993561936
D1c_post_composite,0.5022936105501572,other,False,0.6232245145784708,-0.12093090402831363
D2_ms-only,0.5052737883342413,other,False,0.6459132625801728,-0.14063947424593148
R4_tier2_ms,0.32404197821849223,other,False,0.46574815960612503,-0.1417061813876328
D1c_pre_composite,0.4957477477638691,other,False,0.6431124825994636,-0.14736473483559454
R4_tier1_ms,0.42323083296606967,other,False,0.5709428585379377,-0.14771202557186802
D4_a9_ms_only,0.49574774776386915,MS,False,0.6463633463651204,-0.15061559860125123
D6_ms_only,0.4957477477638691,MS,False,0.6463633509520549,-0.1506156031881858
R1_geographic_70_30,0.3965722250262605,other,False,0.5503191279884049,-0.15374690296214438
R4b_tier2_card,0.38446048330016724,other,False,0.5510946597815461,-0.1666341764813789
R4_tier2_dietrich28,0.38446048330016724,other,False,0.5510946597815461,-0.1666341764813789
D1f_roll3_assess,0.2940463430434439,other,False,0.4781416623943893,-0.18409531935094542
R4b_tier1_all,0.4246490366075029,other,False,0.6271128354370032,-0.20246379882950033
R4b_tier2_all,0.2961156554793998,other,False,0.5024082711222826,-0.20629261564288282
R4b_tier1_card,0.4140830275528596,other,False,0.6274857370314826,-0.213402709478623
R4_tier1_dietrich28,0.41408302442383826,other,False,0.6274857370314826,-0.21340271260764432
B3_logratio_NDSI,0.2739036900588485,SAR,False,0.5176155915119447,-0.24371190145309618
B3_logratio_MNDWI,0.2739036900588485,SAR,False,0.5176155915119447,-0.24371190145309618
D1j_dynamic_groupkfold,0.32412275924962297,other,False,0.5846232923671831,-0.26050053311756016
D1j_dynamic_random,0.3384068829380744,other,False,0.601905688202274,-0.26349880526419955
L2b_coh_drop,0.1908082129307484,SAR,True,0.4851259152768728,-0.2943177023461244
R3_coh_only_A14,0.20502871599538194,SAR,True,0.5241880476003031,-0.31915933160492116
