experiment,n_cities_scored,pooled_auc,pooled_auc_no_mariupol,mean_folds_auc,std_folds_auc,gap_pooled_minus_folds
P_F7_fusion_composite_cohdrop_ExtraTrees_Optuna,11,0.6806061982957528,0.6353573974079607,0.6442704384294539,0.0858207648615369,0.0363357598662988
R3_ms_only_A9,19,0.6503927104068189,0.6431309148036438,0.6441976922956357,0.0952589215036999,0.0061950181111831
D1i_allblocks_random,21,0.6320555579411695,0.604569385818631,0.6430428280650785,0.1279647062654283,-0.0109872701239089
NB08b_BDA_CARD_RF-200,21,0.5473474124140238,0.59030016736268,0.6429299408011843,0.1221803422734356,-0.0955825283871604
D6_ms_only,19,0.6463633509520549,0.6469310217086676,0.6428265157355171,0.093340278375268,0.0035368352165378
D4_a9_ms_only,19,0.6463633463651204,0.6469310217086677,0.6428265140886069,0.0933402781359386,0.0035368322765134
B5_UISEM_RF_Optuna,19,0.681137651063811,0.6488317134380532,0.6428026664704438,0.0737566564771774,0.0383349845933671
C_F8_fusion_composite_blockstats,19,0.6212213199619908,0.5927854258169782,0.6418260680373952,0.0767188149653612,-0.0206047480754043
E6_B_nativeNaN_all_multimodal,15,0.715776332010106,0.715776332010106,0.6410282457301332,0.1506272714007763,0.0747480862799728
E5_LightGBM_native_NaN,15,0.715776332010106,0.715776332010106,0.6410282457301332,0.1506272714007763,0.0747480862799728
NB08b_BDA_CARD_AdaBoost,21,0.5959095328873428,0.6526103854359804,0.6404796558076217,0.1045943630020235,-0.0445701229202788
C_F6_fusion_indices_card_cohdrop,11,0.6470034982604282,0.6400164049830528,0.6399309338518194,0.1014166497423122,0.0070725644086088
C10_leaky_F6_fusion_indices_card_cohdrop,11,0.6470034982604282,0.6400164049830528,0.6399309338518194,0.1014166497423122,0.0070725644086088
D2_ms-only,19,0.6459132625801728,0.6438805483041555,0.6392314131246125,0.0889014750687535,0.0066818494555602
B5_sub_XGB_full_F8,19,0.6112239159376345,0.6022031133621291,0.639182204173939,0.0875204305365259,-0.0279582882363045
P_F7_fusion_composite_cohdrop_RF_Optuna,11,0.675171996837403,0.6311765065669633,0.6388277900550068,0.0844361557204076,0.0363442067823962
R1_geographic_70_30,7,0.5503191279884049,0.5503191279884049,0.6349446710398746,0.1345708724261029,-0.0846255430514697
D1c_pre_composite,19,0.6431124825994636,0.6370505864551441,0.6349135446826657,0.1051302500403396,0.0081989379167979
E2_LightGBM_all,15,0.719329422383606,0.719329422383606,0.6328033957144407,0.1345745718003717,0.0865260266691653
E1_base_LGBM,15,0.719329422383606,0.719329422383606,0.6328033957144407,0.1345745718003717,0.0865260266691653
NB08b_BDA_COH_DROP+RGB+CARD_UISEM_voting,12,0.5668108892357583,0.6569053541425702,0.6328005854786765,0.1078383556790142,-0.0659896962429181
R3b_card_only,19,0.5313261671959684,0.5653196701426257,0.6316971002594226,0.1486791425333005,-0.1003709330634542
R4b_tier1_all,10,0.6271128354370032,0.6271128354370032,0.6312412487275105,0.075486033265757,-0.0041284132905072
C10_leaky_F2_fusion_ms_card_cohdrop,11,0.6418972998958394,0.6248150420772278,0.6311884520472026,0.0967698662893789,0.0107088478486367
C_F2_fusion_ms_card_cohdrop,11,0.6418972998958394,0.6248150420772278,0.6311884520472026,0.0967698662893789,0.0107088478486367
P_F7_fusion_composite_cohdrop_LightGBM_Optuna,11,0.655658716978293,0.6126415186130154,0.6304572625502767,0.0845987795722397,0.0252014544280163
R3b_card_coh,19,0.542348438047852,0.5672712364713511,0.6299241001180861,0.1478033097332863,-0.087575662070234
NB08b_BDA_CARD_XGBoost,21,0.6115991486591961,0.6516793853649425,0.6272196233350043,0.1209406122291746,-0.0156204746758081
C_A22_lu_change,19,0.5971808378788326,0.5841008521988466,0.6266364539878593,0.1419208017988961,-0.0294556161090266
C10_leaky_A22_lu_change,19,0.5971808378788326,0.5841008521988466,0.6266364539878593,0.1419208017988961,-0.0294556161090266
R3_ms_plus_cohdrop_F7,11,0.6347923329859481,0.62627607869771,0.6266079542578663,0.0656711476558957,0.0081843787280817
