model_id,variant_id,n,n_damaged,damage_rate,auc,TP,FN,FP,TN,recall,precision,n_cities,is_leaky,is_degenerate
B5_sub_XGB,uisem_sub_classifier;classifier=XGBoost;features=all_multimodal,62043,8080,0.13,0.6023,879,7201,2850,51113,0.109,0.236,19,False,False
E1_base_XGB,stacking_base;classifier=XGB;features=all_multimodal,62043,8080,0.13,0.6023,879,7201,2850,51113,0.109,0.236,19,False,False
D1j_dynamic_random,random_cv,293116,29543,0.101,0.6019,8652,20891,61235,202338,0.293,0.124,21,True,False
E7d_MLP_128_64,mlp;classifier=MLP_128_64,62043,8080,0.13,0.6018,232,7848,602,53361,0.029,0.278,19,False,False
B0_single_s1_vv_min,unsupervised_change;source=bda_block_stats_v2;direction=|change|,598595,7332,0.012,0.6007,4568,2764,294730,296533,0.623,0.015,21,False,False
NB08b_BDA_CARD_GBM,dataset=BDA;feature_set=CARD;classifier=GBM,368288,6431,0.017,0.6002,30,6401,2505,359352,0.005,0.012,21,False,False
L2b_ndvi_delta,plausibility_standalone;signal=ndvi_delta;higher_is_damage=False,62043,8080,0.13,0.5995,5202,2878,25820,28143,0.644,0.168,19,False,False
NB08b_BDA_CARD_AdaBoost,dataset=BDA;feature_set=CARD;classifier=AdaBoost,368288,6431,0.017,0.5959,0,6431,0,361857,0.0,,21,False,False
NB08b_BRIGHT_all_LightGBM,dataset=BRIGHT;feature_set=all;classifier=LightGBM,92423,14126,0.153,0.592,7845,6281,32729,45568,0.555,0.193,14,False,False
B3_logratio_UI,unsupervised_logratio;sensor=optical;label=UI;direction=-logratio,310131,6319,0.02,0.59,4084,2235,150982,152830,0.646,0.026,19,False,False
L2b_lu_implausible_damage,plausibility_standalone;signal=lu_implausible_damage;higher_is_damage=False,480313,7186,0.015,0.5853,4832,2354,237423,235704,0.672,0.02,19,False,False
D1j_dynamic_groupkfold,groupkfold_cv,293116,29543,0.101,0.5846,8138,21405,56901,206672,0.275,0.125,21,False,False
NB08b_BRIGHT_all_ExtraTrees,dataset=BRIGHT;feature_set=all;classifier=ExtraTrees,92423,14126,0.153,0.5842,6650,7476,24829,53468,0.471,0.211,14,False,False
E7_KNN_15,non_tree;classifier=KNN_15;features=all_multimodal,62043,8080,0.13,0.5801,123,7957,292,53671,0.015,0.296,19,False,False
E7b_QDA,discriminant;classifier=QDA,62043,8080,0.13,0.5765,2051,6029,9114,44849,0.254,0.184,19,False,False
B0_single_s1_vh_max,unsupervised_change;source=bda_block_stats_v2;direction=|change|,598595,7332,0.012,0.5754,5025,2307,294273,296990,0.685,0.017,21,False,False
ABL_ROLLING_SAR_COH,scenario=ROLLING_SAR;sensor=COH;parquet=A17,598595,7332,0.012,0.5737,1805,5527,90275,500988,0.246,0.02,21,False,False
B1_PWTT_VH_exact,unsupervised_pwtt;pol=vh;direction=-t,313429,6370,0.02,0.5734,3800,2570,152915,154144,0.597,0.024,20,False,False
B0_single_s1_vv_kurtosis,unsupervised_change;source=bda_block_stats_v2;direction=drop,598595,7332,0.012,0.5723,5148,2184,293750,297513,0.702,0.017,21,False,False
B4_step2_card+coh,unsupervised_combined;step=step2_card+coh;n_scores=21,101911,4304,0.042,0.5722,2604,1700,48352,49255,0.605,0.051,12,False,False
B0_single_s1_vh_skewness,unsupervised_change;source=bda_block_stats_v2;direction=drop,598595,7332,0.012,0.5717,4466,2866,271171,320092,0.609,0.016,21,False,False
B1_PWTT_VV_exact,unsupervised_pwtt;pol=vv;direction=-t,313429,6370,0.02,0.5712,3791,2579,152924,154135,0.595,0.024,20,False,False
R4_tier1_ms,nb09a;cell=R4,18513,2214,0.12,0.5709,87,2127,473,15826,0.039,0.155,10,False,False
NB08b_BDA_COH_DROP+RGB+CARD_UISEM_voting,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=UISEM_voting,205942,6144,0.03,0.5668,25,6119,49,199749,0.004,0.338,12,False,False
B3_logratio_BAEI,unsupervised_logratio;sensor=optical;label=BAEI;direction=-logratio,310131,6319,0.02,0.5668,3459,2860,151607,152205,0.547,0.022,19,False,False
B0_single_s1_vv_max,unsupervised_change;source=bda_block_stats_v2;direction=|change|,598595,7332,0.012,0.5659,4613,2719,265357,325906,0.629,0.017,21,False,False
CLF_A9_ExtraTrees,classifier=ExtraTrees;parquet=A9,480313,7186,0.015,0.5648,178,7008,19112,454015,0.025,0.009,19,False,False
E7_KNN_5,non_tree;classifier=KNN_5;features=all_multimodal,62043,8080,0.13,0.5645,416,7664,1549,52414,0.051,0.212,19,False,False
NB08b_BDA_COH_DROP_AdaBoost,dataset=BDA;feature_set=COH_DROP;classifier=AdaBoost,21434,1431,0.067,0.5627,0,1431,0,20003,0.0,,12,False,False
B0_single_s1_vh_kurtosis,unsupervised_change;source=bda_block_stats_v2;direction=drop,598595,7332,0.012,0.5622,5074,2258,294224,297039,0.692,0.017,21,False,False
B0_single_s1_vv_skewness,unsupervised_change;source=bda_block_stats_v2;direction=drop,598595,7332,0.012,0.5614,4498,2834,277560,313703,0.613,0.016,21,False,False
