city,feature,auc_raw,auc_best,direction,mann_whitney_u,mann_whitney_p,mean_damaged,mean_control,n_valid
Bucha,s2__composite__cire__delta,0.39800275288631703,0.601997247113683,lower=damaged,113348.0,3.769603517253337e-06,0.064756095,0.08899191,1662
Bucha,s2__composite__b04__prebattle_baseline,0.6013265822073653,0.6013265822073653,higher=damaged,171253.0,4.3630329002923745e-06,0.31989413,0.2812191,1662
Bucha,s2__composite__b04__winter_baseline,0.6013265822073653,0.6013265822073653,higher=damaged,171253.0,4.3630329002923745e-06,0.31989413,0.2812191,1662
Bucha,s2__composite__mndwi__post_winter_baseline,0.5978608949689598,0.5978608949689598,higher=damaged,170266.0,9.156657181480042e-06,-0.1393907,-0.17004225,1662
Bucha,s2__composite__b12__prebattle_baseline,0.5927782381527571,0.5927782381527571,higher=damaged,168818.5,2.601860812808865e-05,0.19620748,0.18613623,1662
Bucha,s2__composite__b12__winter_baseline,0.5927782381527571,0.5927782381527571,higher=damaged,168818.5,2.601860812808865e-05,0.19620748,0.18613623,1662
Bucha,s2__composite__b03__prebattle_baseline,0.5877306946824349,0.5877306946824349,higher=damaged,167381.0,6.980177305725314e-05,0.3122235,0.278192,1662
Bucha,s2__composite__b03__winter_baseline,0.5877306946824349,0.5877306946824349,higher=damaged,167381.0,6.980177305725314e-05,0.3122235,0.278192,1662
Bucha,s2__composite__ndre__delta,0.4124834967274361,0.5875165032725639,lower=damaged,117472.0,7.270652163649335e-05,0.044708822,0.056189805,1662
Bucha,s2__composite__b12__post_winter_baseline,0.5854061911851456,0.5854061911851456,higher=damaged,166719.0,0.00010812985245311338,0.20003527,0.18660311,1662
Bucha,s2__composite__ndvi__prebattle_baseline,0.4149519649428354,0.5850480350571645,lower=damaged,118175.0,0.00011556458524025215,0.052282874,0.06808528,1662
Bucha,s2__composite__ndvi__winter_baseline,0.4149519649428354,0.5850480350571645,lower=damaged,118175.0,0.00011556458524025215,0.052282874,0.06808528,1662
Bucha,s2__composite__b11__prebattle_baseline,0.5831097783645608,0.5831097783645608,higher=damaged,166065.0,0.00016490152659636725,0.19293503,0.1840111,1662
Bucha,s2__composite__b11__winter_baseline,0.5831097783645608,0.5831097783645608,higher=damaged,166065.0,0.00016490152659636725,0.19293503,0.1840111,1662
Bucha,s2__composite__ndre__prebattle_baseline,0.4173010477822411,0.5826989522177589,lower=damaged,118844.0,0.00017764046322475257,0.02060427,0.0319358,1662
Bucha,s2__composite__ndre__winter_baseline,0.4173010477822411,0.5826989522177589,lower=damaged,118844.0,0.00017764046322475257,0.02060427,0.0319358,1662
Bucha,s2__composite__b08__prebattle_baseline,0.5823021714093093,0.5823021714093093,higher=damaged,165835.0,0.00019081768392817302,0.3527651,0.32095495,1662
Bucha,s2__composite__b08__winter_baseline,0.5823021714093093,0.5823021714093093,higher=damaged,165835.0,0.00019081768392817302,0.3527651,0.32095495,1662
Bucha,s2__composite__b11__post_winter_baseline,0.5746193713306553,0.5746193713306553,higher=damaged,163647.0,0.0007180492976387478,0.21458526,0.20261389,1662
Bucha,s2__composite__b02__prebattle_baseline,0.5736923789994101,0.5736923789994101,higher=damaged,163383.0,0.0008360649273862573,0.32320482,0.29061067,1662
Bucha,s2__composite__b02__winter_baseline,0.5736923789994101,0.5736923789994101,higher=damaged,163383.0,0.0008360649273862573,0.32320482,0.29061067,1662
Bucha,s2__composite__b05__prebattle_baseline,0.5647771004803506,0.5647771004803506,higher=damaged,160844.0,0.0033202478400565184,0.32273012,0.30060086,1662
Bucha,s2__composite__b05__winter_baseline,0.5647771004803506,0.5647771004803506,higher=damaged,160844.0,0.0033202478400565184,0.32273012,0.30060086,1662
Bucha,s2__composite__b08__post_winter_baseline,0.5566097362285457,0.5566097362285457,higher=damaged,158518.0,0.010282731071259654,0.20072812,0.18937957,1662
Bucha,s2__composite__b07__prebattle_baseline,0.5564166128262029,0.5564166128262029,higher=damaged,158463.0,0.010545211561554056,0.33139902,0.3133588,1662
Bucha,s2__composite__b07__winter_baseline,0.5564166128262029,0.5564166128262029,higher=damaged,158463.0,0.010545211561554056,0.33139902,0.3133588,1662
Bucha,s2__composite__b07__post_winter_baseline,0.5551736003820331,0.5551736003820331,higher=damaged,158109.0,0.012381859815684248,0.19256325,0.18484364,1662
Bucha,s2__composite__cire__prebattle_baseline,0.44807438411191325,0.5519256158880868,lower=damaged,127608.0,0.018581033045000982,0.034874998,0.05016406,1662
Bucha,s2__composite__cire__winter_baseline,0.44807438411191325,0.5519256158880868,lower=damaged,127608.0,0.018581033045000982,0.034874998,0.05016406,1662
Bucha,s2__composite__b8a__prebattle_baseline,0.5474100396078542,0.5474100396078542,higher=damaged,155898.0,0.031624118952102445,0.33354676,0.3186449,1662
Bucha,s2__composite__b8a__winter_baseline,0.5474100396078542,0.5474100396078542,higher=damaged,155898.0,0.031624118952102445,0.33354676,0.3186449,1662
Bucha,s2__composite__mndwi__prebattle_baseline,0.5426908059215145,0.5426908059215145,higher=damaged,154554.0,0.05296628750724398,0.20689546,0.18444277,1662
Bucha,s2__composite__mndwi__winter_baseline,0.5426908059215145,0.5426908059215145,higher=damaged,154554.0,0.05296628750724398,0.20689546,0.18444277,1662
Bucha,s2__composite__b08__delta,0.461894997050479,0.538105002949521,lower=damaged,131544.0,0.08411193612094765,-0.152037,-0.13157539,1662
Bucha,s2__composite__b8a__post_winter_baseline,0.536001713531279,0.536001713531279,higher=damaged,152649.0,0.10268721936803664,0.20033139,0.1946612,1662
Bucha,s2__composite__ndwi__prebattle_baseline,0.5302185454647603,0.5302185454647603,higher=damaged,151002.0,0.17074978033861832,-0.06269889,-0.07167633,1662
