experiment,n_rows,n_cities_total,n_cities_scored,pooled_auc,pooled_auc_no_mariupol,mean_folds_auc,std_folds_auc,gap_pooled_minus_folds
R3_ms_plus_cohdrop_F7,51293,11,11,0.6347923329859481,0.62627607869771,0.6266079542578663,0.06567114765589573,0.008184378728081754
D2_sar-only,62043,19,19,0.5328670137110815,0.5623158060749329,0.625277053897104,0.15551913579540474,-0.0924100401860225
C_A6_scene_nbr,62043,19,19,0.6308593502735556,0.6295269930950119,0.6240113566364253,0.07290762153036014,0.00684799363713029
C10_leaky_A6_scene_nbr,62043,19,19,0.6308593502735556,0.6295269930950119,0.6240113566364253,0.07290762153036014,0.00684799363713029
C10_leaky_F7_fusion_composite_cohdrop,51293,11,11,0.6451220867407026,0.6213276287084606,0.6227898197882076,0.09231016096606719,0.022332266952495017
NB08b_BDA_CARD_LightGBM,368288,21,21,0.6749668580436796,0.688363958904034,0.6209866903403649,0.13212343886552227,0.05398016770331471
E6_B_nativeNaN_card+coh,387066,15,15,0.7133251483983398,0.7133251483983398,0.6202382537776044,0.1421871456348876,0.09308689462073538
CLF_A17_LightGBM,598595,21,21,0.7943860402372268,0.8151104041235335,0.6198264797658231,0.1428490033390049,0.17455956047140375
R1_random_cv,63243,21,21,0.6215263168097245,0.5921958300358678,0.6197601888774684,0.11403063424005905,0.0017661279322560564
C_F7_fusion_composite_cohdrop,51293,11,11,0.6447751144378915,0.6214189826761266,0.6187214337897479,0.0951034019911108,0.026053680648143618
C_F4_fusion_ms_cohdrop,51293,11,11,0.630815266382731,0.6275232433777161,0.6174893858815188,0.10129451594127577,0.013325880501212195
C10_leaky_F4_fusion_ms_cohdrop,51293,11,11,0.630815266382731,0.6275232433777161,0.6174893858815188,0.10129451594127577,0.013325880501212195
C_A9_composite_prepost_bands,62043,19,19,0.6372726279447433,0.6243332192239484,0.6156019782409491,0.09848938513846865,0.021670649703794176
E2_LightGBM_card+coh,387066,15,15,0.7196988932290961,0.7196988932290961,0.6154877500709581,0.13893931775987173,0.10421114315813795
E6_B_nativeNaN_card_only,387066,15,15,0.7107733515605791,0.7107733515605791,0.6140235581074897,0.14794008513525445,0.09674979345308943
E7d_MLP_256_128_64,62043,19,19,0.6316471803745984,0.6006011140345402,0.6136940599528903,0.07255457038388324,0.017953120421708157
B7_UISEM_card_only,62043,19,19,0.5064697130211882,0.5372659495423315,0.6118591874496504,0.13723341149156695,-0.10538947442846225
E1_soft_voting,387066,15,15,0.6852765260209384,0.6852765260209384,0.6118145107474066,0.14940239173561704,0.0734620152735318
R4b_tier1_card,19020,11,11,0.6274857370314826,0.6274857370314826,0.6114095255999665,0.10566080111732543,0.016076211431516052
R4_tier1_dietrich28,19020,11,11,0.6274857370314826,0.6274857370314826,0.6114095255999665,0.10566080111732543,0.016076211431516052
E2_LightGBM_card,387066,15,15,0.7207604318259747,0.7207604318259747,0.6092715035668003,0.14880418490709096,0.11148892825917445
