file,model_id,variant_id,n_rows,TP,FN,FP,TN
oof_D1d_delta_only__20260422_205106_06ea54.parquet,D1d_delta_only,feat_set=delta_only,598595,598,6734,33645,557618
oof_D1d_delta_only__20260423_002242_06ea54.parquet,D1d_delta_only,feat_set=delta_only,598595,598,6734,33645,557618
oof_D1d_delta_only__20260423_211335_06ea54.parquet,D1d_delta_only,feat_set=delta_only,598595,598,6734,33645,557618
oof_D1d_post_only__20260422_120607_06ea54.parquet,D1d_post_only,feat_set=post_only,598595,598,6734,33642,557621
oof_D1d_post_only__20260422_205106_06ea54.parquet,D1d_post_only,feat_set=post_only,598595,598,6734,33642,557621
oof_D1d_post_only__20260423_002242_06ea54.parquet,D1d_post_only,feat_set=post_only,598595,598,6734,33642,557621
oof_D1d_post_only__20260423_211335_06ea54.parquet,D1d_post_only,feat_set=post_only,598595,598,6734,33642,557621
oof_D1d_pre+post+delta__20260422_120607_06ea54.parquet,D1d_pre+post+delta,feat_set=pre+post+delta,598595,603,6729,33642,557621
oof_D1d_pre+post+delta__20260422_205106_06ea54.parquet,D1d_pre+post+delta,feat_set=pre+post+delta,598595,603,6729,33642,557621
oof_D1d_pre+post+delta__20260423_002242_06ea54.parquet,D1d_pre+post+delta,feat_set=pre+post+delta,598595,603,6729,33642,557621
oof_D1d_pre+post+delta__20260423_211335_06ea54.parquet,D1d_pre+post+delta,feat_set=pre+post+delta,598595,603,6729,33642,557621
oof_D1d_pre_only__20260422_120607_06ea54.parquet,D1d_pre_only,feat_set=pre_only,598595,598,6734,33643,557620
oof_D1d_pre_only__20260422_205106_06ea54.parquet,D1d_pre_only,feat_set=pre_only,598595,598,6734,33643,557620
oof_D1d_pre_only__20260423_002242_06ea54.parquet,D1d_pre_only,feat_set=pre_only,598595,598,6734,33643,557620
oof_D1d_pre_only__20260423_211335_06ea54.parquet,D1d_pre_only,feat_set=pre_only,598595,598,6734,33643,557620
oof_D1e_zonal_max__20260422_120607_06ea54.parquet,D1e_zonal_max,zonal=max,598595,604,6728,33678,557585
oof_D1e_zonal_max__20260422_205106_06ea54.parquet,D1e_zonal_max,zonal=max,598595,604,6728,33678,557585
oof_D1e_zonal_max__20260423_002242_06ea54.parquet,D1e_zonal_max,zonal=max,598595,604,6728,33678,557585
oof_D1e_zonal_max__20260423_211335_06ea54.parquet,D1e_zonal_max,zonal=max,598595,606,6726,33688,557575
oof_D1e_zonal_mean__20260422_120607_06ea54.parquet,D1e_zonal_mean,zonal=mean,598595,599,6733,33645,557618
oof_D1e_zonal_mean__20260422_205106_06ea54.parquet,D1e_zonal_mean,zonal=mean,598595,599,6733,33645,557618
oof_D1e_zonal_mean__20260423_002242_06ea54.parquet,D1e_zonal_mean,zonal=mean,598595,599,6733,33645,557618
oof_D1e_zonal_mean__20260423_211335_06ea54.parquet,D1e_zonal_mean,zonal=mean,598595,599,6733,33642,557621
oof_D1e_zonal_std__20260422_120607_06ea54.parquet,D1e_zonal_std,zonal=std,598595,599,6733,33655,557608
oof_D1e_zonal_std__20260422_205106_06ea54.parquet,D1e_zonal_std,zonal=std,598595,599,6733,33655,557608
oof_D1e_zonal_std__20260423_002242_06ea54.parquet,D1e_zonal_std,zonal=std,598595,599,6733,33655,557608
oof_D1e_zonal_std__20260423_211335_06ea54.parquet,D1e_zonal_std,zonal=std,598595,601,6731,33662,557601
oof_D1f_roll3_assess__20260422_120607_06ea54.parquet,D1f_roll3_assess,window=roll3_assess_only,598595,5704,1628,485823,105440
oof_D1f_roll3_assess__20260422_205106_06ea54.parquet,D1f_roll3_assess,window=roll3_assess_only,598595,5704,1628,485823,105440
oof_D1f_roll3_assess__20260423_002242_06ea54.parquet,D1f_roll3_assess,window=roll3_assess_only,598595,5704,1628,485823,105440
oof_D1f_roll3_assess__20260423_211335_06ea54.parquet,D1f_roll3_assess,window=roll3_assess_only,598595,5704,1628,485823,105440
oof_D1f_roll7_assess__20260422_120607_06ea54.parquet,D1f_roll7_assess,window=roll7_assess_only,598595,1947,5385,101681,489582
oof_D1f_roll7_assess__20260422_205106_06ea54.parquet,D1f_roll7_assess,window=roll7_assess_only,598595,1947,5385,101681,489582
oof_D1f_roll7_assess__20260423_002242_06ea54.parquet,D1f_roll7_assess,window=roll7_assess_only,598595,1947,5385,101681,489582
oof_D1i_allblocks_groupkfold__20260422_120607_06ea54.parquet,D1i_allblocks_groupkfold,groupkfold_cv,598595,629,6703,33808,557455
oof_D1i_allblocks_groupkfold__20260422_205106_06ea54.parquet,D1i_allblocks_groupkfold,groupkfold_cv,598595,629,6703,33808,557455
oof_D1i_allblocks_groupkfold__20260423_002242_06ea54.parquet,D1i_allblocks_groupkfold,groupkfold_cv,598595,629,6703,33808,557455
