city,base,pre_col,post_col,rho_all,rho_damaged,rho_control,delta_rho
Avdiivka,s2__composite__cire__max,s2__composite__cire__prebattle_baseline__max,s2__composite__cire__post_winter_baseline__max,0.2749830222174325,0.4035689773507206,0.25036507410038017,-0.15320390325034045
Avdiivka,s2__composite__cire__mean,s2__composite__cire__prebattle_baseline__mean,s2__composite__cire__post_winter_baseline__mean,0.3032165645257116,0.45744680851063824,0.2738201126045532,-0.18362669590608505
Avdiivka,s2__composite__cire__min,s2__composite__cire__prebattle_baseline__min,s2__composite__cire__post_winter_baseline__min,0.3308083046175342,0.45532979965775744,0.2995687082086472,-0.1557610914491102
Avdiivka,s2__composite__cire__p10,s2__composite__cire__prebattle_baseline__p10,s2__composite__cire__post_winter_baseline__p10,0.31535922550595874,0.4461536739969939,0.2842306178544586,-0.16192305614253533
Avdiivka,s2__composite__cire__p50,s2__composite__cire__prebattle_baseline__p50,s2__composite__cire__post_winter_baseline__p50,0.2831254992109133,0.45215004028527933,0.25423647013703016,-0.19791357014824917
Avdiivka,s2__composite__cire__p90,s2__composite__cire__prebattle_baseline__p90,s2__composite__cire__post_winter_baseline__p90,0.2816077283433601,0.413550774372594,0.2554408254370714,-0.1581099489355226
Avdiivka,s2__composite__cire__std,s2__composite__cire__prebattle_baseline__std,s2__composite__cire__post_winter_baseline__std,0.14043508852050443,0.003252663304586553,0.15149493575962036,0.14824227245503382
Avdiivka,s2__composite__mndwi__max,s2__composite__mndwi__prebattle_baseline__max,s2__composite__mndwi__post_winter_baseline__max,0.12225956737518599,-0.029602220166512486,0.1034361727860254,0.1330383929525379
Avdiivka,s2__composite__mndwi__mean,s2__composite__mndwi__prebattle_baseline__mean,s2__composite__mndwi__post_winter_baseline__mean,0.14195288684987603,0.0892691951896392,0.11539540370072403,0.026126208511084825
Avdiivka,s2__composite__mndwi__min,s2__composite__mndwi__prebattle_baseline__min,s2__composite__mndwi__post_winter_baseline__min,0.11359722208060431,0.07057410467546589,0.10887439110874618,0.03830028643328029
Avdiivka,s2__composite__mndwi__p10,s2__composite__mndwi__prebattle_baseline__p10,s2__composite__mndwi__post_winter_baseline__p10,0.12998940180291818,0.14659365581450864,0.11158137925800553,-0.035012276556503116
Avdiivka,s2__composite__mndwi__p50,s2__composite__mndwi__prebattle_baseline__p50,s2__composite__mndwi__post_winter_baseline__p50,0.1488569272542239,0.10686043388738024,0.11929241692564768,0.012431983038267438
Avdiivka,s2__composite__mndwi__p90,s2__composite__mndwi__prebattle_baseline__p90,s2__composite__mndwi__post_winter_baseline__p90,0.12985014006756315,-0.036391035779296345,0.10584683347538687,0.1422378692546832
Avdiivka,s2__composite__mndwi__std,s2__composite__mndwi__prebattle_baseline__std,s2__composite__mndwi__post_winter_baseline__std,0.08998944593469807,0.030467607651219,0.10431585130528893,0.07384824365406993
Avdiivka,s2__composite__ndbi__max,s2__composite__ndbi__prebattle_baseline__max,s2__composite__ndbi__post_winter_baseline__max,0.05026225537605691,0.2825788547044254,0.027995764841578327,-0.25458308986284706
Avdiivka,s2__composite__ndbi__mean,s2__composite__ndbi__prebattle_baseline__mean,s2__composite__ndbi__post_winter_baseline__mean,-0.0016590493484341447,0.10506997702247022,-0.008193514995688468,-0.11326349201815869
Avdiivka,s2__composite__ndbi__min,s2__composite__ndbi__prebattle_baseline__min,s2__composite__ndbi__post_winter_baseline__min,0.018306545692155545,0.028826355525051472,0.014494603368373257,-0.014331752156678215
Avdiivka,s2__composite__ndbi__p10,s2__composite__ndbi__prebattle_baseline__p10,s2__composite__ndbi__post_winter_baseline__p10,0.0017013766082203626,0.008161499209214882,-0.000267967817954897,-0.00842946702716978
Avdiivka,s2__composite__ndbi__p50,s2__composite__ndbi__prebattle_baseline__p50,s2__composite__ndbi__post_winter_baseline__p50,0.0005998250257527406,0.05545214799711818,-0.004596578660775742,-0.060048726657893924
Avdiivka,s2__composite__ndbi__p90,s2__composite__ndbi__prebattle_baseline__p90,s2__composite__ndbi__post_winter_baseline__p90,0.03015146152172249,0.275044015397929,0.010784439522031728,-0.26425957587589727
Avdiivka,s2__composite__ndbi__std,s2__composite__ndbi__prebattle_baseline__std,s2__composite__ndbi__post_winter_baseline__std,0.23967887317188052,0.2517829966279729,0.23349728367880765,-0.018285712949165228
Avdiivka,s2__composite__ndre__max,s2__composite__ndre__prebattle_baseline__max,s2__composite__ndre__post_winter_baseline__max,0.37725955972722885,0.5659058440023405,0.3425606338003229,-0.22334521020201753
Avdiivka,s2__composite__ndre__mean,s2__composite__ndre__prebattle_baseline__mean,s2__composite__ndre__post_winter_baseline__mean,0.4040849277371915,0.6046671242278654,0.3662732013688297,-0.2383939228590357
