model_id,variant_id,group,auc,n_samples,n_cities,TP,FN,FP,TN,is_leaky,is_degenerate,modality,modality_family,is_accumulator
B1_PWTT_VV_faithful_bldg,unsupervised;aggregation=building_max_vote;derived_from=B1_PWTT_VV_faithful,points_v3plus,0.539051050609066,56562,20,3786,3134,24496,25146,False,False,other,other,False
B1_PWTT_VV+VH,unsupervised_pwtt;pol=vv+vh,points_v3plus,0.5385061396568638,62151,20,4360,3653,26716,27422,False,False,other,other,False
B1_PWTT_VV+VH_faithful,unsupervised_pwtt;pol=vv+vh;direction=|t_vv|+|t_vh|;mode=v3_pixel_timeseries,points_v3plus,0.5385061396568638,62151,20,4360,3653,26716,27422,False,False,other,other,False
B4_step2_card+coh,unsupervised_combined;step=step2_card+coh;n_scores=5,points_v3plus,0.5368024991420628,51800,12,3783,3152,22118,22747,False,False,SAR_card+coh,SAR,False
E6_A_impute+obs_card_only,nan_ablation;strategy=A_impute+obs;modality=card_only,points_v3plus,0.5360741330280759,62043,19,161,7919,335,53628,False,False,SAR_card_only,SAR,False
R3_card_block_stats_A15,nb09a;cell=R3,points_v3plus,0.535774293952421,63243,21,11,8236,6,54990,False,False,other,other,False
D2_sar-only,ablation=SAR-only (Dietrich equivalent),points_v3plus,0.5328670137110815,62043,19,152,7928,331,53632,False,False,other,other,False
R3b_card_only,nb09a;cell=R3b,points_v3plus,0.5313261671959684,62043,19,164,7916,338,53625,False,False,SAR_card_only,SAR,False
B1_PWTT_VH_faithful,unsupervised_pwtt;pol=vh;direction=|t|;mode=v3_pixel_timeseries,points_v3plus,0.5311892540593681,62151,20,4317,3696,26759,27379,False,False,other,other,False
B1_PWTT_VH_exact,unsupervised_pwtt;pol=vh;direction=|t|,points_v3plus,0.5311892540593681,62151,20,4317,3696,26759,27379,False,False,other,other,False
B2_CCD_VV+VH_faithful_bldg,unsupervised;aggregation=building_max_vote;derived_from=B2_CCD_VV+VH_faithful,points_v3plus,0.5274403074209935,38027,12,1602,2989,9969,23467,False,False,other,other,False
B1_PWTT_VV_faithful,unsupervised_pwtt;pol=vv;direction=|t|;mode=v3_pixel_timeseries,points_v3plus,0.525974041167181,62151,20,4243,3770,26833,27305,False,False,other,other,False
B1_PWTT_VV_exact,unsupervised_pwtt;pol=vv;direction=|t|,points_v3plus,0.525974041167181,62151,20,4243,3770,26833,27305,False,False,other,other,False
B4_step1_card,unsupervised_combined;step=step1_card;n_scores=2,points_v3plus,0.5259161180834978,63243,21,4398,3849,27224,27772,False,False,other,other,False
D1_blk_pre+post_all,feat_set=pre+post_all,points_v3plus,0.5256366517893432,63243,21,4,8243,18,54978,False,False,other,other,False
R2_roll13,nb09a;cell=R2,points_v3plus,0.5254939790676091,63243,21,15,8232,65,54931,False,False,other,other,False
R2_roll7,nb09a;cell=R2,points_v3plus,0.5250533746943228,63243,21,19,8228,53,54943,False,False,other,other,False
R2_roll3,nb09a;cell=R2,points_v3plus,0.5247997389547463,63243,21,24,8223,80,54916,False,False,other,other,False
B0_single_s1_coh_running_min,unsupervised_single_score;source=bda_coh_drop_v3;direction=+raw,points_v3plus,0.5244524569462614,51800,12,4639,2296,28052,16813,False,False,SAR_coh_unsupervised,SAR,True
R3_coh_only_A14,nb09a;cell=R3,points_v3plus,0.5241880476003031,51800,12,4119,2816,24740,20125,False,False,SAR_coh_only,SAR,True
B2_CCD_vv_Optuna,unsupervised_ccd_optuna;pol=vv;k=-0.1495;z=-1.000;persistence=1;aggregation=building_max_vote,points_v3plus,0.5240068793527611,38294,12,1366,3250,8385,25293,False,False,other,other,False
D1_blk_pre_baseline_all,feat_set=pre_baseline_all,points_v3plus,0.5236957255521997,63243,21,5,8242,3,54993,False,False,other,other,False
D1e_zonal_max,zonal=max,points_v3plus,0.5235484436567773,63243,21,25,8222,16,54980,False,False,other,other,False
B0_single_s1_vh_mean,unsupervised_change;source=bda_block_stats_v3;direction=|change|,points_v3plus,0.5229742735657845,63243,21,4310,3937,27312,27684,False,False,other,other,False
R0c_roll7_baseline+assessment,nb09a;cell=R0c,points_v3plus,0.5229516080285848,63243,21,13,8234,29,54967,False,False,other,other,False
D1_blk_post_block_all,feat_set=post_block_all,points_v3plus,0.5223519855094371,63243,21,6,8241,16,54980,False,False,other,other,False
D1i_allblocks_groupkfold,groupkfold_cv,points_v3plus,0.5217038404406857,63243,21,6,8241,0,54996,False,False,other,other,False
B3_logratio_IBI,unsupervised_logratio;sensor=optical;label=IBI;direction=-logratio,points_v3plus,0.5216390705834084,3533,5,215,192,1552,1574,False,False,SAR_unsupervised,SAR,False
R5_XGBoost_dietrich28,nb09a;cell=R5,points_v3plus,0.5205326517215406,63243,21,29,8218,84,54912,False,False,other,other,False
B3_logratio_VV,unsupervised_logratio;sensor=sar;label=VV;direction=|logratio|,points_v3plus,0.5205224731755793,63243,21,4357,3890,27265,27731,False,False,SAR_unsupervised,SAR,False
B2_CCD_vv_faithful_bldg,unsupervised;aggregation=building_max_vote;derived_from=B2_CCD_vv_faithful,points_v3plus,0.5205014688188752,38139,12,952,3651,5585,27951,False,False,other,other,False
D1e_zonal_min,zonal=min,points_v3plus,0.5201937479223442,63243,21,27,8220,20,54976,False,False,other,other,False
E8_IsolationForest_c=0.100,unsupervised_isolation_forest;contamination=0.100,points_v3plus,0.520073056566261,62043,19,4249,3831,26773,27190,False,False,other,other,False
E8_IsolationForest_c=0.130,unsupervised_isolation_forest;contamination=0.130,points_v3plus,0.520073056566261,62043,19,4249,3831,26773,27190,False,False,other,other,False
E8_IsolationForest_c=0.050,unsupervised_isolation_forest;contamination=0.050,points_v3plus,0.520073056566261,62043,19,4249,3831,26773,27190,False,False,other,other,False
R5_GBM_dietrich28,nb09a;cell=R5,points_v3plus,0.5199841975345487,63243,21,47,8200,209,54787,False,False,other,other,False
D6_sar_only,sensor=SAR_only,points_v3plus,0.5196565702810728,63243,21,3,8244,4,54992,False,False,SAR_all,SAR,False
R0c_roll13_baseline+assessment,nb09a;cell=R0c,points_v3plus,0.5193793573117255,63243,21,11,8236,30,54966,False,False,other,other,False
B2_CCD_vh_Optuna,unsupervised_ccd_optuna;pol=vh;k=-0.0207;z=-1.197;persistence=4;aggregation=building_max_vote,points_v3plus,0.5189189560078488,38254,12,1622,2992,10620,23020,False,False,other,other,False
R0c_roll3_baseline+assessment,nb09a;cell=R0c,points_v3plus,0.5185024479618007,63243,21,12,8235,29,54967,False,False,other,other,False
B0_single_s1_vv_mean,unsupervised_change;source=bda_block_stats_v3;direction=|change|,points_v3plus,0.5184193351125514,63243,21,4309,3938,27313,27683,False,False,other,other,False
B3_logratio_MNDWI,unsupervised_logratio;sensor=optical;label=MNDWI;direction=-logratio,points_v3plus,0.5176155915119447,3533,5,218,189,1549,1577,False,False,SAR_unsupervised,SAR,False
B3_logratio_NDSI,unsupervised_logratio;sensor=optical;label=NDSI;direction=-logratio,points_v3plus,0.5176155915119447,3533,5,218,189,1549,1577,False,False,SAR_unsupervised,SAR,False
R3_card_only_prepost_A13,nb09a;cell=R3,points_v3plus,0.5173883662542323,63243,21,111,8136,397,54599,False,False,SAR_card_only,SAR,False
R0b_prepost_single_card_groupkfold,nb09a;cell=R0b,points_v3plus,0.5173883662542323,63243,21,111,8136,397,54599,False,False,other,other,False
B2_CCD_VV+VH_faithful,unsupervised_ccd;pol=vv+vh;score=sum_count_damage_months,points_v3plus,0.5172162004584573,41941,12,1838,3635,11049,25419,False,False,other,other,False
D1e_zonal_median,zonal=median,points_v3plus,0.516596950957854,63243,21,9,8238,15,54981,False,False,other,other,False
B2_CCD_vh_faithful_bldg,unsupervised;aggregation=building_max_vote;derived_from=B2_CCD_vh_faithful,points_v3plus,0.5155990951159078,38133,12,907,3693,5604,27929,False,False,other,other,False
B3_logratio_VH,unsupervised_logratio;sensor=sar;label=VH;direction=|logratio|,points_v3plus,0.5154963803798538,63243,21,4267,3980,27355,27641,False,False,SAR_unsupervised,SAR,False
R5_LightGBM_dietrich28,nb09a;cell=R5,points_v3plus,0.5154907735256613,63243,21,1676,6571,9677,45319,False,False,other,other,False
B0_single_s1_coh_max_drop,unsupervised_single_score;source=bda_coh_drop_v3;direction=-raw,points_v3plus,0.5148740847231272,51800,12,4566,2369,27978,16887,False,False,SAR_coh_unsupervised,SAR,True
D1d_pre+post+delta,feat_set=pre+post+delta,points_v3plus,0.5144501233080188,63243,21,33,8214,94,54902,False,False,other,other,False
D1_pre+post+delta,feat_set=pre+post+delta,points_v3plus,0.5144501233080188,63243,21,33,8214,94,54902,False,False,other,other,False
E7_SVM_rbf,non_tree;classifier=SVM_rbf;features=all_multimodal,points_v3plus,0.514140471294688,62043,19,0,8080,0,53963,False,True,multimodal_all,multimodal,False
B7_UISEM_card+coh+delta,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=card+coh+delta,points_v3plus,0.5140889003888436,62043,19,38,8042,161,53802,False,False,SAR_card+coh,SAR,False
B7_UISEM_card+coh,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=card+coh,points_v3plus,0.5140889003888436,62043,19,38,8042,161,53802,False,False,SAR_card+coh,SAR,False
B3a_LogRatio_VV_faithful_bldg,unsupervised;aggregation=building_max_vote;derived_from=B3a_LogRatio_VV_faithful,points_v3plus,0.5134288965641391,56562,20,3548,3372,24734,24908,False,False,SAR_unsupervised,SAR,False
D1_delta_only,feat_set=delta_only,points_v3plus,0.5122693833403169,63243,21,129,8118,810,54186,False,False,other,other,False
D1d_delta_only,feat_set=delta_only,points_v3plus,0.5122693833403169,63243,21,129,8118,810,54186,False,False,other,other,False
D1e_zonal_mean,zonal=mean,points_v3plus,0.512099886793138,63243,21,13,8234,16,54980,False,False,other,other,False
B2_CCD_vv_faithful,unsupervised_ccd;pol=vv;k=-0.05;z=-2.0;persistence=3;score=count_damage_months,points_v3plus,0.5118808573609246,42061,12,1074,4411,6292,30284,False,False,other,other,False
B2_CCD_vv_Optuna_pixel,unsupervised_ccd_optuna;pol=vv;k=-0.1495;z=-1.000;persistence=1;aggregation=pixel,points_v3plus,0.5113639081075405,42229,12,1528,3971,9364,27366,False,False,other,other,False
B3a_LogRatio_VV+VH_faithful_bldg,unsupervised;aggregation=building_max_vote;derived_from=B3a_LogRatio_VV+VH_faithful,points_v3plus,0.5098349209239892,56562,20,3531,3389,24751,24891,False,False,SAR_unsupervised,SAR,False
B3a_LogRatio_VH_faithful_bldg,unsupervised;aggregation=building_max_vote;derived_from=B3a_LogRatio_VH_faithful,points_v3plus,0.5097099189736083,56562,20,3526,3394,24756,24886,False,False,SAR_unsupervised,SAR,False
