city,feature,n,mean,std,skewness,kurtosis,shapiro_stat,shapiro_p,is_normal_005,pct_nan
Avdiivka,s2__composite__b11__post_winter_baseline__std,1186,0.004583265,0.0035942274,2.6034145,12.211362,0.7860885584827358,8.480530439880742e-37,False,0.0
Avdiivka,s2__composite__b11__post_winter_baseline__min,1186,0.21740432,0.021577936,0.34386775,1.3973804,0.9733828100442193,5.820753894679356e-14,False,0.0
Avdiivka,s2__composite__b11__post_winter_baseline__max,1186,0.2314073,0.023074547,0.69213575,1.696372,0.9713253215688,1.4085388074510619e-14,False,0.0
Avdiivka,s2__composite__b11__post_winter_baseline__max_abs_delta,1186,0.0140029965,0.010501375,2.666966,14.822365,0.7970186552027367,4.42381337919602e-36,False,0.0
Avdiivka,s2__composite__b12__post_winter_baseline__mean,1186,0.20506093,0.01483724,0.6884361,2.8333254,0.9549040323898719,1.2133165068670923e-18,False,0.0
Avdiivka,s2__composite__b12__post_winter_baseline__p10,1186,0.20039448,0.014819334,0.33496165,2.2782764,0.9551083133485854,1.3410494396182214e-18,False,0.0
Avdiivka,s2__composite__b12__post_winter_baseline__p50,1186,0.20490986,0.014938596,0.75798994,3.3305888,0.9509653008150141,1.872325213464871e-19,False,0.0
Avdiivka,s2__composite__b12__post_winter_baseline__p90,1186,0.20988826,0.015865004,1.1919051,6.279026,0.9368924993230128,5.172628190355881e-22,False,0.0
Avdiivka,s2__composite__b12__post_winter_baseline__std,1186,0.0040010978,0.003122869,4.0202217,36.829235,0.7390009026262129,1.3804775567042886e-39,False,0.0
Avdiivka,s2__composite__b12__post_winter_baseline__min,1186,0.19906864,0.014832924,0.23840545,2.432695,0.9512456190719502,2.130813770482367e-19,False,0.0
Avdiivka,s2__composite__b12__post_winter_baseline__max,1186,0.21143743,0.016258389,1.4310818,8.583304,0.9265264363302375,1.2281431933557462e-23,False,0.0
Avdiivka,s2__composite__b12__post_winter_baseline__max_abs_delta,1186,0.012368804,0.009461224,4.3216834,44.015324,0.7364458474796014,1.0017637326248098e-39,False,0.0
Avdiivka,s2__composite__b8a__post_winter_baseline__mean,1186,0.39627612,0.076363936,1.1902311,2.7359605,0.9353654086686284,2.9001400722646233e-22,False,0.0
Avdiivka,s2__composite__b8a__post_winter_baseline__p10,1186,0.3742368,0.070459284,1.1263882,3.1085129,0.9441803008406218,9.536059228924893e-21,False,0.0
Avdiivka,s2__composite__b8a__post_winter_baseline__p50,1186,0.39511392,0.07725879,1.2268786,2.9623032,0.9324557002407394,9.89986121601987e-23,False,0.0
Avdiivka,s2__composite__b8a__post_winter_baseline__p90,1186,0.41924098,0.08499326,1.1710893,2.1634207,0.9320216044496591,8.458364201036258e-23,False,0.0
Avdiivka,s2__composite__b8a__post_winter_baseline__std,1186,0.01902042,0.014365436,1.9219826,5.089443,0.8302659004438107,1.0888752708334294e-33,False,0.0
Avdiivka,s2__composite__b8a__post_winter_baseline__min,1186,0.36852482,0.06890658,1.104934,3.2076569,0.9468537176711282,2.9806086672236825e-20,False,0.0
Avdiivka,s2__composite__b8a__post_winter_baseline__max,1186,0.42698726,0.08758196,1.159863,1.9992819,0.9312036847543299,6.300856673668579e-23,False,0.0
Avdiivka,s2__composite__b8a__post_winter_baseline__max_abs_delta,1186,0.058462467,0.042662002,1.8097652,4.55121,0.8445362869135417,1.5118252293821198e-32,False,0.0
Avdiivka,s2__composite__cire__post_winter_baseline__mean,1186,0.051143304,0.06426409,1.0834687,1.0915852,0.9160682794683185,4.140665812950591e-25,False,0.0
Avdiivka,s2__composite__cire__post_winter_baseline__p10,1186,0.0267606,0.06356957,1.0117706,1.0015254,0.9279708067711675,2.0175544274218856e-23,False,0.0
Avdiivka,s2__composite__cire__post_winter_baseline__p50,1186,0.05082071,0.0646682,1.0344483,0.9074266,0.9225982588239287,3.301529749429208e-24,False,0.0
Avdiivka,s2__composite__cire__post_winter_baseline__p90,1186,0.07582067,0.06848145,1.123676,1.3636675,0.9152538889676851,3.224065721876744e-25,False,0.0
