model_id,city,n_overture,n_labeled,n_no_unosat,pct_labeled,TP,FN,FP,TN
CLF_F7_XGBoost,Mariupol,119107,28973,90134,24.3,73,2982,103,25815
CLF_F7_XGBoost,Moschun,20565,1248,19317,6.1,0,73,1,1174
CLF_F7_XGBoost,Mykolaiv,137326,0,137326,0.0,0,0,0,0
CLF_F7_XGBoost,Okhtyrka,27603,26456,1147,95.8,0,35,25,26396
CLF_F7_XGBoost,Rubizhne,16687,13609,3078,81.6,3,428,17,13161
CLF_F7_XGBoost,Sievierodonetsk,14151,9065,5086,64.1,168,366,526,8005
CLF_F7_XGBoost,Trostianets,18656,8737,9919,46.8,0,18,2,8717
CLF_F7_XGBoost,Volnovakha,13888,13463,425,96.9,4,159,49,13251
NB08b_BDA_RGB+CARD_LogReg,Avdiivka,13360,12523,837,93.7,77,12,4379,8055
NB08b_BDA_RGB+CARD_LogReg,Borodyanka,49969,5240,44729,10.5,37,25,1556,3622
NB08b_BDA_RGB+CARD_LogReg,Bucha,17367,17215,152,99.1,117,41,6181,10876
NB08b_BDA_RGB+CARD_LogReg,Chernihiv,58626,51375,7251,87.6,188,145,14088,36954
NB08b_BDA_RGB+CARD_LogReg,Chornobaivka,10829,9909,920,91.5,6,0,7301,2602
NB08b_BDA_RGB+CARD_LogReg,Dmytrivka,13650,13649,1,100.0,104,40,4599,8906
NB08b_BDA_RGB+CARD_LogReg,Hostomel,19798,19145,653,96.7,282,229,5486,13148
NB08b_BDA_RGB+CARD_LogReg,Irpin,17686,17365,321,98.2,167,82,6657,10459
NB08b_BDA_RGB+CARD_LogReg,Kharkiv,213845,170104,43741,79.5,191,47,59315,110551
NB08b_BDA_RGB+CARD_LogReg,Kherson,10829,9909,920,91.5,6,0,6406,3497
NB08b_BDA_RGB+CARD_LogReg,Kramatorsk,58518,10414,48104,17.8,18,1,4555,5840
NB08b_BDA_RGB+CARD_LogReg,Lysychansk,47169,41600,5569,88.2,644,427,7742,32787
NB08b_BDA_RGB+CARD_LogReg,Makariv,7742,5554,2188,71.7,27,26,1179,4322
NB08b_BDA_RGB+CARD_LogReg,Mariupol,119107,28973,90134,24.3,1817,1238,7033,18885
NB08b_BDA_RGB+CARD_LogReg,Moschun,20565,1248,19317,6.1,21,52,237,938
NB08b_BDA_RGB+CARD_LogReg,Mykolaiv,137326,113042,24284,82.3,0,84,1,112957
NB08b_BDA_RGB+CARD_LogReg,Okhtyrka,27603,26456,1147,95.8,19,16,4773,21648
NB08b_BDA_RGB+CARD_LogReg,Rubizhne,16687,13609,3078,81.6,224,207,3836,9342
NB08b_BDA_RGB+CARD_LogReg,Sievierodonetsk,14151,9065,5086,64.1,484,50,4802,3729
NB08b_BDA_RGB+CARD_LogReg,Trostianets,18656,8737,9919,46.8,12,6,2959,5760
NB08b_BDA_RGB+CARD_LogReg,Volnovakha,13888,13463,425,96.9,66,97,4133,9167
NB08b_BDA_RGB_ExtraTrees,Avdiivka,13360,12523,837,93.7,72,17,1251,11183
NB08b_BDA_RGB_ExtraTrees,Borodyanka,49969,5240,44729,10.5,26,36,724,4454
NB08b_BDA_RGB_ExtraTrees,Bucha,17367,17215,152,99.1,96,62,2644,14413
NB08b_BDA_RGB_ExtraTrees,Chernihiv,58626,51375,7251,87.6,171,162,10505,40537
NB08b_BDA_RGB_ExtraTrees,Chornobaivka,10829,9909,920,91.5,6,0,5280,4623
NB08b_BDA_RGB_ExtraTrees,Dmytrivka,13650,13649,1,100.0,88,56,2107,11398
NB08b_BDA_RGB_ExtraTrees,Hostomel,19798,19145,653,96.7,187,324,2572,16062
NB08b_BDA_RGB_ExtraTrees,Irpin,17686,17365,321,98.2,147,102,4210,12906
NB08b_BDA_RGB_ExtraTrees,Kharkiv,213845,170104,43741,79.5,182,56,40165,129701
NB08b_BDA_RGB_ExtraTrees,Kherson,10829,9909,920,91.5,6,0,5281,4622
NB08b_BDA_RGB_ExtraTrees,Kramatorsk,58518,10414,48104,17.8,18,1,2821,7574
NB08b_BDA_RGB_ExtraTrees,Lysychansk,47169,41600,5569,88.2,548,523,3806,36723
NB08b_BDA_RGB_ExtraTrees,Makariv,7742,5554,2188,71.7,23,30,498,5003
NB08b_BDA_RGB_ExtraTrees,Mariupol,119107,28973,90134,24.3,1452,1603,3086,22832
NB08b_BDA_RGB_ExtraTrees,Moschun,20565,1248,19317,6.1,6,67,31,1144
NB08b_BDA_RGB_ExtraTrees,Mykolaiv,137326,113042,24284,82.3,32,52,16547,96411
NB08b_BDA_RGB_ExtraTrees,Okhtyrka,27603,26456,1147,95.8,15,20,1902,24519
NB08b_BDA_RGB_ExtraTrees,Rubizhne,16687,13609,3078,81.6,162,269,1952,11226
NB08b_BDA_RGB_ExtraTrees,Sievierodonetsk,14151,9065,5086,64.1,440,94,3493,5038
NB08b_BDA_RGB_ExtraTrees,Trostianets,18656,8737,9919,46.8,6,12,468,8251
NB08b_BDA_RGB_ExtraTrees,Volnovakha,13888,13463,425,96.9,20,143,938,12362
