model_id,group,city,n_labeled,n_no_unosat,TP,FN,FP,TN
E6_B_nativeNaN_all_multimodal,buildings_v2,Hostomel,19145,0,223,288,2905,15729
E6_B_nativeNaN_all_multimodal,buildings_v2,Irpin,17365,0,92,157,1273,15843
E6_B_nativeNaN_all_multimodal,buildings_v2,Kharkiv,170104,0,0,238,0,169866
E6_B_nativeNaN_all_multimodal,buildings_v2,Kherson,9909,0,1,5,79,9824
E6_B_nativeNaN_all_multimodal,buildings_v2,Kramatorsk,10414,0,2,17,318,10077
E6_B_nativeNaN_all_multimodal,buildings_v2,Lysychansk,41600,0,753,318,24510,16019
E6_B_nativeNaN_all_multimodal,buildings_v2,Makariv,5554,0,13,40,190,5311
E6_B_nativeNaN_all_multimodal,buildings_v2,Mariupol,28973,0,1400,1655,3227,22691
E6_B_nativeNaN_all_multimodal,buildings_v2,Moschun,1248,0,11,62,117,1058
E6_B_nativeNaN_all_multimodal,buildings_v2,Okhtyrka,26456,0,14,21,2513,23908
E6_B_nativeNaN_all_multimodal,buildings_v2,Rubizhne,13609,0,127,304,1409,11769
E6_B_nativeNaN_all_multimodal,buildings_v2,Sievierodonetsk,9065,0,485,49,6428,2103
E6_B_nativeNaN_all_multimodal,buildings_v2,Trostianets,8737,0,0,18,125,8594
E6_B_nativeNaN_all_multimodal,buildings_v2,Volnovakha,13463,0,56,107,2356,10944
E5_LightGBM_native_NaN,buildings_v2,Avdiivka,12523,0,0,89,0,12434
E5_LightGBM_native_NaN,buildings_v2,Bucha,17215,0,83,75,930,16127
E5_LightGBM_native_NaN,buildings_v2,Chernihiv,51375,0,134,199,8302,42740
E5_LightGBM_native_NaN,buildings_v2,Chornobaivka,9909,0,0,6,0,9903
E5_LightGBM_native_NaN,buildings_v2,Dmytrivka,13649,0,65,79,514,12991
E5_LightGBM_native_NaN,buildings_v2,Hostomel,19145,0,223,288,2905,15729
E5_LightGBM_native_NaN,buildings_v2,Irpin,17365,0,92,157,1273,15843
E5_LightGBM_native_NaN,buildings_v2,Kharkiv,170104,0,0,238,0,169866
E5_LightGBM_native_NaN,buildings_v2,Kherson,9909,0,1,5,79,9824
E5_LightGBM_native_NaN,buildings_v2,Kramatorsk,10414,0,2,17,318,10077
E5_LightGBM_native_NaN,buildings_v2,Lysychansk,41600,0,753,318,24510,16019
E5_LightGBM_native_NaN,buildings_v2,Makariv,5554,0,13,40,190,5311
E5_LightGBM_native_NaN,buildings_v2,Mariupol,28973,0,1400,1655,3227,22691
E5_LightGBM_native_NaN,buildings_v2,Moschun,1248,0,11,62,117,1058
E5_LightGBM_native_NaN,buildings_v2,Okhtyrka,26456,0,14,21,2513,23908
E5_LightGBM_native_NaN,buildings_v2,Rubizhne,13609,0,127,304,1409,11769
E5_LightGBM_native_NaN,buildings_v2,Sievierodonetsk,9065,0,485,49,6428,2103
E5_LightGBM_native_NaN,buildings_v2,Trostianets,8737,0,0,18,125,8594
E5_LightGBM_native_NaN,buildings_v2,Volnovakha,13463,0,56,107,2356,10944
CLF_A17_GBM,buildings_v2,Avdiivka,12523,0,5,84,12,12422
CLF_A17_GBM,buildings_v2,Borodyanka,5240,0,0,62,5,5173
CLF_A17_GBM,buildings_v2,Bucha,17215,0,1,157,16,17041
CLF_A17_GBM,buildings_v2,Chernihiv,51375,0,0,333,0,51042
CLF_A17_GBM,buildings_v2,Chornobaivka,9909,0,0,6,0,9903
CLF_A17_GBM,buildings_v2,Dmytrivka,13649,0,3,141,9,13496
CLF_A17_GBM,buildings_v2,Hostomel,19145,0,3,508,12,18622
CLF_A17_GBM,buildings_v2,Irpin,17365,0,1,248,18,17098
CLF_A17_GBM,buildings_v2,Kharkiv,170104,0,0,238,11,169855
CLF_A17_GBM,buildings_v2,Kherson,9909,0,0,6,3,9900
CLF_A17_GBM,buildings_v2,Kramatorsk,10414,0,0,19,0,10395
CLF_A17_GBM,buildings_v2,Lysychansk,41600,0,2,1069,17,40512
CLF_A17_GBM,buildings_v2,Makariv,5554,0,0,53,0,5501
CLF_A17_GBM,buildings_v2,Mariupol,28973,0,7,3048,25,25893
CLF_A17_GBM,buildings_v2,Moschun,1248,0,0,73,0,1175
CLF_A17_GBM,buildings_v2,Mykolaiv,113042,0,0,84,0,112958
CLF_A17_GBM,buildings_v2,Okhtyrka,26456,0,0,35,12,26409
CLF_A17_GBM,buildings_v2,Rubizhne,13609,0,0,431,0,13178
CLF_A17_GBM,buildings_v2,Sievierodonetsk,9065,0,10,524,28,8503
CLF_A17_GBM,buildings_v2,Trostianets,8737,0,0,18,0,8719
CLF_A17_GBM,buildings_v2,Volnovakha,13463,0,0,163,12,13288
CLF_F7_GBM,buildings_v2,Avdiivka,12523,0,4,85,284,12150
CLF_F7_GBM,buildings_v2,Bucha,17215,0,0,158,9,17048
CLF_F7_GBM,buildings_v2,Chernihiv,51375,0,0,333,7,51035
CLF_F7_GBM,buildings_v2,Chornobaivka,9909,0,0,6,0,9903
CLF_F7_GBM,buildings_v2,Dmytrivka,13649,0,0,144,7,13498
CLF_F7_GBM,buildings_v2,Hostomel,19145,0,1,510,5,18629
CLF_F7_GBM,buildings_v2,Irpin,17365,0,0,249,8,17108
CLF_F7_GBM,buildings_v2,Kharkiv,170104,0,0,238,17,169849
CLF_F7_GBM,buildings_v2,Kherson,9909,0,0,6,0,9903
CLF_F7_GBM,buildings_v2,Kramatorsk,10414,0,0,19,8,10387
CLF_F7_GBM,buildings_v2,Lysychansk,41600,0,5,1066,64,40465
CLF_F7_GBM,buildings_v2,Makariv,5554,0,0,53,0,5501
CLF_F7_GBM,buildings_v2,Mariupol,28973,0,14,3041,16,25902
CLF_F7_GBM,buildings_v2,Moschun,1248,0,0,73,0,1175
CLF_F7_GBM,buildings_v2,Okhtyrka,26456,0,0,35,3,26418
CLF_F7_GBM,buildings_v2,Rubizhne,13609,0,1,430,2,13176
CLF_F7_GBM,buildings_v2,Sievierodonetsk,9065,0,2,532,4,8527
CLF_F7_GBM,buildings_v2,Trostianets,8737,0,0,18,35,8684
CLF_F7_GBM,buildings_v2,Volnovakha,13463,0,0,163,0,13300
CLF_A17_LightGBM,buildings_v2,Avdiivka,12523,0,66,23,3051,9383
CLF_A17_LightGBM,buildings_v2,Borodyanka,5240,0,20,42,1205,3973
CLF_A17_LightGBM,buildings_v2,Bucha,17215,0,116,42,2943,14114
CLF_A17_LightGBM,buildings_v2,Chernihiv,51375,0,160,173,15231,35811
CLF_A17_LightGBM,buildings_v2,Chornobaivka,9909,0,0,6,0,9903
CLF_A17_LightGBM,buildings_v2,Dmytrivka,13649,0,107,37,4155,9350
CLF_A17_LightGBM,buildings_v2,Hostomel,19145,0,259,252,5476,13158
CLF_A17_LightGBM,buildings_v2,Irpin,17365,0,163,86,6403,10713
CLF_A17_LightGBM,buildings_v2,Kharkiv,170104,0,2,236,143,169723
