city,feature,n_damaged,n_control,mean_damaged,mean_control,std_damaged,std_control,cohens_d,mann_whitney_u,mann_whitney_p,rank_biserial,significant_005,effect_size_label
Avdiivka,s2__composite__b05__winter_baseline_max,89,12434,0.21972365727585352,0.21088283784532924,0.0332453303713399,0.015923024055443918,0.5487819873549221,701869.0,5.856643410964469e-06,-0.2684845647942484,True,medium
Avdiivka,s2__composite__b07__winter_baseline_mean,89,12434,0.22764192688527235,0.24645186158695181,0.035690705771557585,0.021168408779576188,-0.8828864669108657,308493.0,8.147699288990746e-14,0.44246204227986696,True,large
Avdiivka,s2__composite__b07__winter_baseline_std,89,12434,0.01279457567199391,0.006170672940525056,0.008557955139013257,0.003552558975103094,1.8338484686153278,909140.0,1.9079668446469437e-27,-0.6430844747909412,True,large
Avdiivka,s2__composite__b07__winter_baseline_max,89,12434,0.251878306771932,0.2553764281505909,0.0390521491587374,0.021953773964782385,-0.15814212531989347,483603.0,0.03346987850386775,0.12598655733734798,True,negligible
Avdiivka,s2__composite__b08__winter_baseline_mean,89,12434,0.23448134869917223,0.25876359271629046,0.0412569275035001,0.025551918012304872,-0.944988407890192,310485.5,1.2905824774323269e-13,0.4388610063381847,True,large
Avdiivka,s2__composite__b08__winter_baseline_std,89,12434,0.02859801137594942,0.01719625984480134,0.014768950398662195,0.008077807763413554,1.400011761868913,840369.0,2.0182004603319702e-18,-0.5187949677668877,True,large
Avdiivka,s2__composite__b08__winter_baseline_max,89,12434,0.2894063310676746,0.28359762148010936,0.05506788405043416,0.03078387507221034,0.1872511659017786,570722.0,0.5954016984743606,-0.031463204370763,False,negligible
Avdiivka,s2__composite__b11__winter_baseline_mean,89,12434,0.23603785392023277,0.2520900910892612,0.038507820432411785,0.02242938647748991,-0.7108304990257889,348962.0,4.5625470185762995e-10,0.3693226076379915,True,medium
Avdiivka,s2__composite__b11__winter_baseline_std,89,12434,0.011366525548911021,0.004934507875601452,0.008353384379716673,0.0031974361010365386,1.9716609798635716,925003.0,8.514111544507722e-30,-0.6717536005841178,True,large
Avdiivka,s2__composite__b11__winter_baseline_max,89,12434,0.25885463346926013,0.25998147812896516,0.042637762325112905,0.022015681165512897,-0.050696017120125926,518369.0,0.28646534778958566,0.06315412795289466,False,negligible
Avdiivka,s2__composite__b12__winter_baseline_mean,89,12434,0.21131510572155887,0.2224171861245301,0.029546857183550244,0.01689830723713849,-0.652294797622834,370372.5,2.400271027136498e-08,0.3306275110109468,True,medium
Avdiivka,s2__composite__b12__winter_baseline_std,89,12434,0.011072742050859808,0.004913580615267978,0.00915165232684154,0.003861164418423013,1.569885015160061,887118.0,2.378994431974487e-24,-0.6032842170706274,True,large
Avdiivka,s2__composite__b12__winter_baseline_max,89,12434,0.233176883184508,0.23022933552023375,0.03835293453396912,0.018712571502622153,0.15577458916056003,550354.5,0.9281043744199093,0.005346883228841581,False,negligible
Avdiivka,s2__composite__b8a__winter_baseline_mean,89,12434,0.23975464565239826,0.2619059626226136,0.04050481981305338,0.023148354663137995,-0.9500695997341445,296595.5,4.846563840689606e-15,0.46396433844858154,True,large
Avdiivka,s2__composite__b8a__winter_baseline_std,89,12434,0.013630370429425012,0.006599507933430305,0.008863649831256967,0.003822957839988467,1.8114731414592324,911282.0,9.288489743811602e-28,-0.6469557013842075,True,large
Avdiivka,s2__composite__b8a__winter_baseline_max,89,12434,0.2656476243158405,0.27157662459915044,0.04278437291092683,0.02373682049934528,-0.24782991442024926,475391.0,0.0174589219383432,0.14082806657353075,True,small
Avdiivka,s2__composite__cire__winter_baseline_mean,89,12434,0.13937094227950245,0.19492485367356274,0.08266243868249298,0.051690323748673814,-1.068910836377264,275898.0,2.6242014067310748e-17,0.5013708335065324,True,large
Avdiivka,s2__composite__cire__winter_baseline_std,89,12434,0.03203600834963045,0.01965396215158291,0.01704178205844034,0.00974830032490458,1.2610955824579817,848266.0,2.3163833012187786e-19,-0.5330671789746491,True,large
Avdiivka,s2__composite__cire__winter_baseline_max,89,12434,0.20649867513206568,0.22847987942724762,0.09400752033381278,0.058615271768327204,-0.3729532980698362,428111.0,0.00013393126962193397,0.22627698969660937,True,small
Avdiivka,s2__composite__mndwi__winter_baseline_mean,89,12434,-0.1528761473274589,-0.18777589883863746,0.058968505424128854,0.04487741498885942,0.775690485304484,786742.0,1.0745884450632006e-12,-0.4218751411949475,True,medium
Avdiivka,s2__composite__mndwi__winter_baseline_std,89,12434,0.04146049486987021,0.03098207051761109,0.019056972107155946,0.016295355019718724,0.642202163853082,750454.0,1.8138621614547072e-09,-0.35629200832078767,True,medium
Avdiivka,s2__composite__mndwi__winter_baseline_max,89,12434,-0.0824483697390278,-0.14246818468867042,0.07846035186694147,0.05945631663630011,1.0068576244824532,800724.0,4.455773871775137e-14,-0.4471447444755501,True,large
Avdiivka,s2__composite__ndbi__winter_baseline_mean,89,12434,0.008736660087752337,-0.006559573367480391,0.03989792789063232,0.03472003804661973,0.4400638766641134,700246.0,7.394949931155632e-06,-0.2655513244763814,True,small
