classifier,manifest_key,param,default,tuned,abs_drift,rel_drift
LightGBM-MIA,composite_vs_scenes_landuse,min_child_samples,20.0,29.0,9.0,0.45
LightGBM-MIA,composite_vs_scenes_landuse,reg_alpha,0.0,1.325044568707964,1.325044568707964,
LightGBM-MIA,composite_vs_scenes_landuse,reg_lambda,0.0,0.6234221521788219,0.6234221521788219,
LightGBM-MIA,composite_vs_scenes_landuse,feature_fraction,1.0,0.7600340105889054,-0.2399659894110946,-0.2399659894110946
LightGBM-MIA,composite_vs_scenes_landuse,bagging_fraction,1.0,0.7733551396716398,-0.22664486032836018,-0.22664486032836018
LightGBM-MIA,composite_vs_scenes_landuse,bagging_freq,0.0,2.0,2.0,
LightGBM-MIA,composite_prepost_bands,n_estimators,150.0,192.0,42.0,0.28
LightGBM-MIA,composite_prepost_bands,num_leaves,31.0,239.0,208.0,6.709677419354839
LightGBM-MIA,composite_prepost_bands,max_depth,6.0,3.0,-3.0,-0.5
LightGBM-MIA,composite_prepost_bands,learning_rate,0.05,0.133931245425862,0.08393124542586199,1.6786249085172396
LightGBM-MIA,composite_prepost_bands,min_child_samples,20.0,72.0,52.0,2.6
LightGBM-MIA,composite_prepost_bands,reg_alpha,0.0,0.5710957972339202,0.5710957972339202,
LightGBM-MIA,composite_prepost_bands,reg_lambda,0.0,0.4315572833030301,0.4315572833030301,
LightGBM-MIA,composite_prepost_bands,feature_fraction,1.0,0.7443263274151685,-0.25567367258483154,-0.25567367258483154
LightGBM-MIA,composite_prepost_bands,bagging_fraction,1.0,0.7295844864060694,-0.27041551359393057,-0.27041551359393057
LightGBM-MIA,composite_prepost_bands,bagging_freq,0.0,3.0,3.0,
LightGBM-MIA,composite_prepost_landuse,n_estimators,150.0,711.0,561.0,3.74
LightGBM-MIA,composite_prepost_landuse,num_leaves,31.0,92.0,61.0,1.967741935483871
LightGBM-MIA,composite_prepost_landuse,max_depth,6.0,4.0,-2.0,-0.3333333333333333
LightGBM-MIA,composite_prepost_landuse,learning_rate,0.05,0.1253512068224737,0.07535120682247369,1.5070241364494736
LightGBM-MIA,composite_prepost_landuse,min_child_samples,20.0,59.0,39.0,1.95
LightGBM-MIA,composite_prepost_landuse,reg_alpha,0.0,0.9536822441813846,0.9536822441813846,
LightGBM-MIA,composite_prepost_landuse,reg_lambda,0.0,0.9326770668008164,0.9326770668008164,
LightGBM-MIA,composite_prepost_landuse,feature_fraction,1.0,0.8861689085953802,-0.11383109140461978,-0.11383109140461978
LightGBM-MIA,composite_prepost_landuse,bagging_fraction,1.0,0.5616039435936573,-0.4383960564063427,-0.4383960564063427
LightGBM-MIA,composite_prepost_landuse,bagging_freq,0.0,1.0,1.0,
ExtraTrees,fusion_composite_blockstats,n_estimators,200.0,206.0,6.0,0.03
ExtraTrees,fusion_composite_blockstats,max_depth,,10.0,,
ExtraTrees,fusion_composite_blockstats,min_samples_leaf,3.0,7.0,4.0,1.3333333333333333
ExtraTrees,fusion_composite_blockstats,min_samples_split,2.0,2.0,0.0,0.0
ExtraTrees,fusion_composite_blockstats,max_features,sqrt,0.3,,
LightGBM,fusion_composite_blockstats,n_estimators,200.0,157.0,-43.0,-0.215
LightGBM,fusion_composite_blockstats,num_leaves,31.0,248.0,217.0,7.0
LightGBM,fusion_composite_blockstats,max_depth,7.0,3.0,-4.0,-0.5714285714285714
LightGBM,fusion_composite_blockstats,learning_rate,0.1,0.011334591631901706,-0.0886654083680983,-0.886654083680983
LightGBM,fusion_composite_blockstats,min_child_samples,20.0,94.0,74.0,3.7
LightGBM,fusion_composite_blockstats,reg_alpha,0.0,1.9590200875337866,1.9590200875337866,
LightGBM,fusion_composite_blockstats,reg_lambda,0.0,0.03913920061147451,0.03913920061147451,
LightGBM,fusion_composite_blockstats,feature_fraction,1.0,0.5004793916224968,-0.49952060837750323,-0.49952060837750323
LightGBM,fusion_composite_blockstats,bagging_fraction,1.0,0.9292277971713317,-0.07077220282866825,-0.07077220282866825
LightGBM,fusion_composite_blockstats,bagging_freq,0.0,2.0,2.0,
RF-200,fusion_composite_blockstats,n_estimators,200.0,299.0,99.0,0.495
